government-organisation	abbreviation	government-organisation-type	govuk	name	website	parent-govuks
EA53	Cefas	Executive agency	centre-for-environment-fisheries-and-aquaculture-science	Centre for Environment, Fisheries and Aquaculture Science	https://www.gov.uk/government/organisations/centre-for-environment-fisheries-and-aquaculture-science	department-for-environment-food-rural-affairs
EA54		Executive agency	forest-research	Forest Research	https://www.gov.uk/government/organisations/forest-research	forestry-commission
EA55	FEE	Executive agency	forest-enterprise-england	Forest Enterprise (England) 	https://www.gov.uk/government/organisations/forest-enterprise-england	forestry-commission
EA56	Fera	Executive agency	the-food-and-environment-research-agency	The Food and Environment Research Agency	https://www.gov.uk/government/organisations/the-food-and-environment-research-agency	department-for-environment-food-rural-affairs
PB57	MMO	Executive non-departmental public body	marine-management-organisation	Marine Management Organisation	https://www.gov.uk/government/organisations/marine-management-organisation	department-for-environment-food-rural-affairs
EA58	RPA	Executive agency	rural-payments-agency	Rural Payments Agency	https://www.gov.uk/government/organisations/rural-payments-agency	department-for-environment-food-rural-affairs
EA60	VMD	Executive agency	veterinary-medicines-directorate	Veterinary Medicines Directorate	https://www.gov.uk/government/organisations/veterinary-medicines-directorate	department-for-environment-food-rural-affairs
EA61	FCOS	Executive agency	fco-services	FCO Services	https://www.gov.uk/government/organisations/fco-services	foreign-commonwealth-office
EA62	Wilton Park	Executive agency	wilton-park	Wilton Park	https://www.gov.uk/government/organisations/wilton-park	foreign-commonwealth-office
EA63	MHRA	Executive agency	medicines-and-healthcare-products-regulatory-agency	Medicines and Healthcare products Regulatory Agency	https://www.gov.uk/government/organisations/medicines-and-healthcare-products-regulatory-agency	department-of-health
EA66	HM Passport Office	Sub-organisation	hm-passport-office	HM Passport Office	https://www.gov.uk/government/organisations/hm-passport-office	home-office
EA67	UKBA	Executive agency	uk-border-agency	UK Border Agency	https://www.gov.uk/government/organisations/uk-border-agency	home-office
D69	Land Registry	Non-ministerial department	land-registry	Land Registry	https://www.gov.uk/government/organisations/land-registry	department-for-business-energy-and-industrial-strategy
EA70	NOMS	Executive agency	national-offender-management-service	National Offender Management Service	https://www.gov.uk/government/organisations/national-offender-management-service	ministry-of-justice
EA71		Non-ministerial department	the-national-archives	The National Archives	https://www.gov.uk/government/organisations/the-national-archives	department-for-culture-media-sport
EA72	OPG	Executive agency	office-of-the-public-guardian	Office of the Public Guardian	https://www.gov.uk/government/organisations/office-of-the-public-guardian	ministry-of-justice
EA73	HMCTS	Executive agency	hm-courts-and-tribunals-service	HM Courts & Tribunals Service	https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service	ministry-of-justice
EA74	DVLA	Executive agency	driver-and-vehicle-licensing-agency	Driver and Vehicle Licensing Agency	https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency	department-for-transport
EA75	DSA	Executive agency	driving-standards-agency	Driving Standards Agency	https://www.gov.uk/government/organisations/driving-standards-agency	department-for-transport
EA77	HA	Executive agency	highways-agency	Highways Agency	https://www.gov.uk/government/organisations/highways-agency	department-for-transport
EA78	MCA	Executive agency	maritime-and-coastguard-agency	Maritime and Coastguard Agency	https://www.gov.uk/government/organisations/maritime-and-coastguard-agency	department-for-transport
EA79	VOSA	Executive agency	vehicle-and-operator-services-agency	Vehicle and Operator Services Agency	https://www.gov.uk/government/organisations/vehicle-and-operator-services-agency	department-for-transport
EA80	VCA	Executive agency	vehicle-certification-agency	Vehicle Certification Agency	https://www.gov.uk/government/organisations/vehicle-certification-agency	department-for-transport
EA82	DMO	Executive agency	uk-debt-management-office	UK Debt Management Office	https://www.gov.uk/government/organisations/uk-debt-management-office	hm-treasury
D85	Forestry	Non-ministerial department	forestry-commission	Forestry Commission	https://www.gov.uk/government/organisations/forestry-commission	department-for-environment-food-rural-affairs
EA86	SFA	Executive agency	skills-funding-agency	Skills Funding Agency	https://www.gov.uk/government/organisations/skills-funding-agency	department-for-education
EA87	VOA	Executive agency	valuation-office-agency	Valuation Office Agency	https://www.gov.uk/government/organisations/valuation-office-agency	hm-revenue-customs
D98	Charity Commission	Non-ministerial department	charity-commission	The Charity Commission	https://www.gov.uk/government/organisations/charity-commission	
OT100		Other	the-crown-estate	The Crown Estate	https://www.gov.uk/government/organisations/the-crown-estate	hm-treasury
D101	CPS	Non-ministerial department	crown-prosecution-service	Crown Prosecution Service	https://www.gov.uk/government/organisations/crown-prosecution-service	attorney-generals-office
D102	FSA	Non-ministerial department	food-standards-agency	Food Standards Agency	https://www.gov.uk/government/organisations/food-standards-agency	
D103	GAD	Non-ministerial department	government-actuarys-department	Government Actuary's Department	https://www.gov.uk/government/organisations/government-actuarys-department	
EA104	NS&I	Non-ministerial department	ns-i	NS&I	https://www.gov.uk/government/organisations/ns-i	hm-treasury
D106	Ofsted	Non-ministerial department	ofsted	Ofsted	https://www.gov.uk/government/organisations/ofsted	department-for-education
D108		Non-ministerial department	ofgem	Ofgem	https://www.gov.uk/government/organisations/ofgem	department-of-energy-climate-change
D109	Ofqual	Non-ministerial department	ofqual	Ofqual	https://www.gov.uk/government/organisations/ofqual	department-for-education
D110	ORR	Non-ministerial department	office-of-rail-regulation	Office of Rail Regulation	https://www.gov.uk/government/organisations/office-of-rail-regulation	department-for-transport
EA114	RM	Other	royal-mint	Royal Mint	https://www.gov.uk/government/organisations/royal-mint	hm-treasury
D115	SFO	Non-ministerial department	serious-fraud-office	Serious Fraud Office	https://www.gov.uk/government/organisations/serious-fraud-office	attorney-generals-office
D116	Statistics	Non-ministerial department	uk-statistics-authority	UK Statistics Authority	https://www.gov.uk/government/organisations/uk-statistics-authority	
D117	UKTI	Non-ministerial department	uk-trade-investment	UK Trade & Investment	https://www.gov.uk/government/organisations/uk-trade-investment	
PB118	HBLB	Executive non-departmental public body	horserace-betting-levy-board	Horserace Betting Levy Board	https://www.gov.uk/government/organisations/horserace-betting-levy-board	department-for-culture-media-sport
PB120	HEFCE	Executive non-departmental public body	higher-education-funding-council-for-england	Higher Education Funding Council for England	https://www.gov.uk/government/organisations/higher-education-funding-council-for-england	department-for-education
PB121	CST	Advisory non-departmental public body	council-for-science-and-technology	Council for Science and Technology	https://www.gov.uk/government/organisations/council-for-science-and-technology	department-for-business-energy-and-industrial-strategy
PB122	LPC	Advisory non-departmental public body	low-pay-commission	Low Pay Commission	https://www.gov.uk/government/organisations/low-pay-commission	department-for-business-energy-and-industrial-strategy
PB123	AHRC	Executive non-departmental public body	arts-and-humanities-research-council	Arts and Humanities Research Council	https://www.gov.uk/government/organisations/arts-and-humanities-research-council	department-for-business-energy-and-industrial-strategy
PB124	BHC	Executive non-departmental public body	british-hallmarking-council	British Hallmarking Council	https://www.gov.uk/government/organisations/british-hallmarking-council	department-for-business-energy-and-industrial-strategy
PB126	CITB	Executive non-departmental public body	construction-industry-training-board	Construction Industry Training Board	https://www.gov.uk/government/organisations/construction-industry-training-board	department-for-education
PB129	ESRC	Executive non-departmental public body	economic-and-social-research-council	Economic and Social Research Council	https://www.gov.uk/government/organisations/economic-and-social-research-council	department-for-business-energy-and-industrial-strategy
PB130	EPSRC	Executive non-departmental public body	engineering-and-physical-sciences-research-council	Engineering and Physical Sciences Research Council	https://www.gov.uk/government/organisations/engineering-and-physical-sciences-research-council	department-for-business-energy-and-industrial-strategy
PB131	ECITB	Executive non-departmental public body	engineering-construction-industry-training-board	Engineering Construction Industry Training Board	https://www.gov.uk/government/organisations/engineering-construction-industry-training-board	department-for-education
PB132	MRC	Executive non-departmental public body	medical-research-council	Medical Research Council	https://www.gov.uk/government/organisations/medical-research-council	department-for-business-energy-and-industrial-strategy
PB133	NERC	Executive non-departmental public body	natural-environment-research-council	Natural Environment Research Council	https://www.gov.uk/government/organisations/natural-environment-research-council	department-for-business-energy-and-industrial-strategy
PB134	OFFA	Executive non-departmental public body	office-for-fair-access	Office for Fair Access	https://www.gov.uk/government/organisations/office-for-fair-access	department-for-education
PB135	STFC	Executive non-departmental public body	science-and-technology-facilities-council	Science and Technology Facilities Council	https://www.gov.uk/government/organisations/science-and-technology-facilities-council	department-for-business-energy-and-industrial-strategy
PB136		Executive non-departmental public body	technology-strategy-board	Technology Strategy Board	https://www.gov.uk/government/organisations/technology-strategy-board	department-for-business-innovation-skills
PB137	UKAEA	Executive non-departmental public body	uk-atomic-energy-authority	UK Atomic Energy Authority	https://www.gov.uk/government/organisations/uk-atomic-energy-authority	department-for-business-energy-and-industrial-strategy
PB138	UKCES	Executive non-departmental public body	uk-commission-for-employment-and-skills	UK Commission for Employment and Skills	https://www.gov.uk/government/organisations/uk-commission-for-employment-and-skills	department-for-education
PB139	Certification Officer	Other	certification-officer	Certification Officer	https://www.gov.uk/government/organisations/certification-officer	department-for-business-energy-and-industrial-strategy
PB140	CAT	Tribunal non-departmental public body	competition-appeal-tribunal	Competition Appeal Tribunal	https://www.gov.uk/government/organisations/competition-appeal-tribunal	department-for-business-energy-and-industrial-strategy
PB147	CfEL	Executive non-departmental public body	capital-for-enterprise-ltd	Capital for Enterprise Limited	https://www.gov.uk/government/organisations/capital-for-enterprise-ltd	department-for-business-innovation-skills
PB148	CAC	Tribunal non-departmental public body	central-arbitration-committee	Central Arbitration Committee	https://www.gov.uk/government/organisations/central-arbitration-committee	department-for-business-energy-and-industrial-strategy
OT152	IDAB	Advisory non-departmental public body	industrial-development-advisory-board	Industrial Development Advisory Board	https://www.gov.uk/government/organisations/industrial-development-advisory-board	department-for-business-energy-and-industrial-strategy
PB158	CSPL	Advisory non-departmental public body	the-committee-on-standards-in-public-life	Committee on Standards in Public Life	https://www.gov.uk/government/organisations/the-committee-on-standards-in-public-life	cabinet-office
PB160	BRAC	Advisory non-departmental public body	building-regulations-advisory-committee	Building Regulations Advisory Committee	https://www.gov.uk/government/organisations/building-regulations-advisory-committee	department-for-communities-and-local-government
PB161	HCA	Executive non-departmental public body	homes-and-communities-agency	Homes and Communities Agency	https://www.gov.uk/government/organisations/homes-and-communities-agency	department-for-communities-and-local-government
PC163	ARB	Public corporation	architects-registration-board	Architects Registration Board	https://www.gov.uk/government/organisations/architects-registration-board	department-for-communities-and-local-government
PB165		Executive non-departmental public body	arts-council-england	Arts Council England	https://www.gov.uk/government/organisations/arts-council-england	department-for-culture-media-sport
PB166	BL	Executive non-departmental public body	british-library	British Library	https://www.gov.uk/government/organisations/british-library	department-for-culture-media-sport
PB167	BM	Executive non-departmental public body	british-museum	British Museum	https://www.gov.uk/government/organisations/british-museum	department-for-culture-media-sport
PB168	EH	Executive non-departmental public body	english-heritage	English Heritage	https://www.gov.uk/government/organisations/english-heritage	department-for-culture-media-sport
PB169	GC	Executive non-departmental public body	gambling-commission	Gambling Commission	https://www.gov.uk/government/organisations/gambling-commission	department-for-culture-media-sport
PB170	GMus	Executive non-departmental public body	geffrye-museum	Geffrye Museum	https://www.gov.uk/government/organisations/geffrye-museum	department-for-culture-media-sport
PB171	Horniman	Executive non-departmental public body	horniman-museum	Horniman Public Museum and Public Park Trust	https://www.gov.uk/government/organisations/horniman-museum	department-for-culture-media-sport
PB172	IWM	Executive non-departmental public body	imperial-war-museum	Imperial War Museum	https://www.gov.uk/government/organisations/imperial-war-museum	department-for-culture-media-sport
PB174		Executive non-departmental public body	national-gallery	National Gallery	https://www.gov.uk/government/organisations/national-gallery	department-for-culture-media-sport
PB175	NHMF	Executive non-departmental public body	national-heritage-memorial-fund	National Heritage Memorial Fund	https://www.gov.uk/government/organisations/national-heritage-memorial-fund	department-for-culture-media-sport
PB177		Executive non-departmental public body	science-museum-group	Science Museum Group	https://www.gov.uk/government/organisations/science-museum-group	department-for-culture-media-sport
PB178	NML	Executive non-departmental public body	national-museums-liverpool	National Museums Liverpool	https://www.gov.uk/government/organisations/national-museums-liverpool	department-for-culture-media-sport
PB179	NPG	Executive non-departmental public body	national-portrait-gallery	National Portrait Gallery	https://www.gov.uk/government/organisations/national-portrait-gallery	department-for-culture-media-sport
PB180	NHM	Executive non-departmental public body	natural-history-museum	Natural History Museum	https://www.gov.uk/government/organisations/natural-history-museum	department-for-culture-media-sport
PB181	ODA	Executive non-departmental public body	olympic-delivery-authority	Olympic Delivery Authority	https://www.gov.uk/government/organisations/olympic-delivery-authority	department-for-culture-media-sport
PB182	RA	Executive non-departmental public body	royal-armouries-museum	Royal Armouries Museum	https://www.gov.uk/government/organisations/royal-armouries-museum	department-for-culture-media-sport
PB183	Soane's	Executive non-departmental public body	sir-john-soane-s-museum	Sir John Soane's Museum	https://www.gov.uk/government/organisations/sir-john-soane-s-museum	department-for-culture-media-sport
PB184	SGSA	Executive non-departmental public body	sports-grounds-safety-authority	Sports Grounds Safety Authority	https://www.gov.uk/government/organisations/sports-grounds-safety-authority	department-for-culture-media-sport
PB185	UKSP	Executive non-departmental public body	uk-sport	UK Sport	https://www.gov.uk/government/organisations/uk-sport	department-for-culture-media-sport
PB186	VB	Executive non-departmental public body	visitbritain	VisitBritain	https://www.gov.uk/government/organisations/visitbritain	department-for-culture-media-sport
PB187		Executive non-departmental public body	wallace-collection	Wallace Collection	https://www.gov.uk/government/organisations/wallace-collection	department-for-culture-media-sport
PB188	BIG	Executive non-departmental public body	big-lottery-fund	Big Lottery Fund	https://www.gov.uk/government/organisations/big-lottery-fund	cabinet-office
PB189	BFI	Executive non-departmental public body	british-film-institute	British Film Institute	https://www.gov.uk/government/organisations/british-film-institute	department-for-culture-media-sport
PB190	SE	Executive non-departmental public body	sport-england	Sport England	https://www.gov.uk/government/organisations/sport-england	department-for-culture-media-sport
PB191	CoRWM	Advisory non-departmental public body	committee-on-radioactive-waste-management	Committee on Radioactive Waste Management	https://www.gov.uk/government/organisations/committee-on-radioactive-waste-management	department-for-business-energy-and-industrial-strategy
PB192	FPAG	Advisory non-departmental public body	the-fuel-poverty-advisory-group	Fuel Poverty Advisory Group	https://www.gov.uk/government/organisations/the-fuel-poverty-advisory-group	department-of-energy-climate-change
