government-organisation	abbreviation	government-organisation-type	govuk	name	website	parent-govuks
PB336	ACOBA	Advisory non-departmental public body	advisory-committee-on-business-appointments	Advisory Committee on Business Appointments	https://www.gov.uk/government/organisations/advisory-committee-on-business-appointments	cabinet-office
PB337	BCE	Advisory non-departmental public body	boundary-commission-for-england	Boundary Commission for England	https://www.gov.uk/government/organisations/boundary-commission-for-england	cabinet-office
IM341	HOLAC	Advisory non-departmental public body	house-of-lords-appointments-commission	House of Lords Appointments Commission	https://www.gov.uk/government/organisations/house-of-lords-appointments-commission	cabinet-office
OT342	PCO	Other	privy-council-office	Privy Council Office	https://www.gov.uk/government/organisations/privy-council-office	cabinet-office
PC343	Audit Commission	Public corporation	audit-commission	Audit Commission	https://www.gov.uk/government/organisations/audit-commission	department-for-communities-and-local-government
OT347	HMCPSI	Other	hm-crown-prosecution-service-inspectorate	HM Crown Prosecution Service Inspectorate	https://www.gov.uk/government/organisations/hm-crown-prosecution-service-inspectorate	attorney-generals-office
PB348	PPF	Public corporation	pension-protection-fund	Pension Protection Fund	https://www.gov.uk/government/organisations/pension-protection-fund	department-for-work-pensions
PB349	ILF	Executive non-departmental public body	independent-living-fund	Independent Living Fund	https://www.gov.uk/government/organisations/independent-living-fund	department-for-work-pensions
PB350	Remploy	Executive non-departmental public body	remploy-ltd	Remploy Ltd	https://www.gov.uk/government/organisations/remploy-ltd	department-for-work-pensions
D352	OFT	Non-ministerial department	office-of-fair-trading	Office of Fair Trading	https://www.gov.uk/government/organisations/office-of-fair-trading	department-for-business-innovation-skills
PB353	CC	Executive non-departmental public body	competition-commission	Competition Commission	https://www.gov.uk/government/organisations/competition-commission	department-for-business-innovation-skills
PB354	RPC	Advisory non-departmental public body	regulatory-policy-committee	Regulatory Policy Committee	https://www.gov.uk/government/organisations/regulatory-policy-committee	department-for-business-energy-and-industrial-strategy
PB355		Tribunal non-departmental public body	copyright-tribunal	Copyright Tribunal	https://www.gov.uk/government/organisations/copyright-tribunal	department-for-business-energy-and-industrial-strategy
PB356		Executive non-departmental public body	consumer-focus	Consumer Futures	https://www.gov.uk/government/organisations/consumer-focus	department-for-business-innovation-skills
PB357	EGAC	Advisory non-departmental public body	export-guarantees-advisory-council	Export Guarantees Advisory Council	https://www.gov.uk/government/organisations/export-guarantees-advisory-council	uk-export-finance
PB358	LRRC	Advisory non-departmental public body	land-registration-rule-committee	Land Registration Rule Committee	https://www.gov.uk/government/organisations/land-registration-rule-committee	department-for-business-energy-and-industrial-strategy
OT360	GIB	Other	uk-green-investment-bank	UK Green Investment Bank	https://www.gov.uk/government/organisations/uk-green-investment-bank	department-for-business-energy-and-industrial-strategy
EA365	GPS	Executive agency	government-procurement-service	Government Procurement Service	https://www.gov.uk/government/organisations/government-procurement-service	
PB366	CSC	Executive non-departmental public body	civil-service-commission	Civil Service Commission	https://www.gov.uk/government/organisations/civil-service-commission	cabinet-office
PB367	SVAP	Advisory non-departmental public body	security-vetting-appeals-panel	Security Vetting Appeals Panel	https://www.gov.uk/government/organisations/security-vetting-appeals-panel	cabinet-office
PB368	SSRB	Advisory non-departmental public body	review-body-on-senior-salaries	Senior Salaries Review Body 	https://www.gov.uk/government/organisations/review-body-on-senior-salaries	cabinet-office
PB372	HOS	Executive non-departmental public body	housing-ombudsman	Housing Ombudsman	https://www.gov.uk/government/organisations/housing-ombudsman	department-for-communities-and-local-government
PB373	LEASE	Executive non-departmental public body	leasehold-advisory-service	Leasehold Advisory Service	https://www.gov.uk/government/organisations/leasehold-advisory-service	department-for-communities-and-local-government
PB374	LTGDC	Executive non-departmental public body	london-thames-gateway-development-corporation	London Thames Gateway Development Corporation	https://www.gov.uk/government/organisations/london-thames-gateway-development-corporation	department-for-communities-and-local-government
PB375	VTS	Executive non-departmental public body	valuation-tribunal-service-for-england-valuation-tribunal-service	Valuation Tribunal Service	https://www.gov.uk/government/organisations/valuation-tribunal-service-for-england-valuation-tribunal-service	department-for-communities-and-local-government
PB376	VE	Executive non-departmental public body	visitengland	VisitEngland	https://www.gov.uk/government/organisations/visitengland	department-for-culture-media-sport
PB377	UKAD	Executive non-departmental public body	uk-anti-doping	UK Anti-Doping	https://www.gov.uk/government/organisations/uk-anti-doping	department-for-culture-media-sport
PB378	VAM	Executive non-departmental public body	victoria-and-albert-museum	Victoria and Albert Museum	https://www.gov.uk/government/organisations/victoria-and-albert-museum	department-for-culture-media-sport
PB380	TTT	Advisory non-departmental public body	the-theatres-trust	The Theatres Trust	https://www.gov.uk/government/organisations/the-theatres-trust	department-for-culture-media-sport
PB382	RCEWA	Advisory non-departmental public body	the-reviewing-committee-on-the-export-of-works-of-art-and-objects-of-cultural-interest	The Reviewing Committee on the Export of Works of Art and Objects of Cultural Interest	https://www.gov.uk/government/organisations/the-reviewing-committee-on-the-export-of-works-of-art-and-objects-of-cultural-interest	department-for-culture-media-sport
PB383	TVC	Advisory non-departmental public body	treasure-valuation-committee	Treasure Valuation Committee	https://www.gov.uk/government/organisations/treasure-valuation-committee	department-for-culture-media-sport
OT385	Ofcom	Other	ofcom	Ofcom	https://www.gov.uk/government/organisations/ofcom	department-for-culture-media-sport
PC386	C4	Public corporation	channel-4	Channel 4	https://www.gov.uk/government/organisations/channel-4	department-for-culture-media-sport
PC387	S4C	Other	s4c	S4C	https://www.gov.uk/government/organisations/s4c	department-for-culture-media-sport
PC388	BBC	Public corporation	bbc	BBC	https://www.gov.uk/government/organisations/bbc	department-for-culture-media-sport
PC389	HRP	Public corporation	historic-royal-palaces	Historic Royal Palaces	https://www.gov.uk/government/organisations/historic-royal-palaces	department-for-culture-media-sport
PC390	HLF	Executive non-departmental public body	heritage-lottery-fund	Heritage Lottery Fund (administered by the NHMF)	https://www.gov.uk/government/organisations/heritage-lottery-fund	department-for-culture-media-sport
PB392	ACCO	Advisory non-departmental public body	advisory-committee-on-conscientious-objectors	Advisory Committee on Conscientious Objectors	https://www.gov.uk/government/organisations/advisory-committee-on-conscientious-objectors	ministry-of-defence
PB393	AGoMM	Other	advisory-group-on-military-medicine	Advisory Group on Military Medicine	https://www.gov.uk/government/organisations/advisory-group-on-military-medicine	ministry-of-defence
PB394	AFPRB	Advisory non-departmental public body	armed-forces-pay-review-body	Armed Forces' Pay Review Body	https://www.gov.uk/government/organisations/armed-forces-pay-review-body	ministry-of-defence
PB395	CAC Pensions and Compensation	Advisory non-departmental public body	central-advisory-committee-on-pensions-and-compensation	Central Advisory Committee on Pensions and Compensation 	https://www.gov.uk/government/organisations/central-advisory-committee-on-pensions-and-compensation	ministry-of-defence
PB396	DNSC	Advisory non-departmental public body	defence-nuclear-safety-committee	Defence Nuclear Safety Committee	https://www.gov.uk/government/organisations/defence-nuclear-safety-committee	ministry-of-defence
PB397	DSAC	Advisory non-departmental public body	defence-scientific-advisory-council	Defence Scientific Advisory Council	https://www.gov.uk/government/organisations/defence-scientific-advisory-council	ministry-of-defence
PB399	NEAB	Advisory non-departmental public body	national-employer-advisory-board	National Employer Advisory Board	https://www.gov.uk/government/organisations/national-employer-advisory-board	ministry-of-defence
PB400	NRAC	Advisory non-departmental public body	nuclear-research-advisory-council	Nuclear Research Advisory Council	https://www.gov.uk/government/organisations/nuclear-research-advisory-council	ministry-of-defence
PB401	OPA	Public corporation	oil-and-pipelines-agency	The Oil and Pipelines Agency	https://www.gov.uk/government/organisations/oil-and-pipelines-agency	ministry-of-defence
PB402	SACMILL	Advisory non-departmental public body	science-advisory-committee-on-the-medical-implications-of-less-lethal-weapons	Scientific Advisory Committee on the Medical Implications of Less-Lethal Weapons	https://www.gov.uk/government/organisations/science-advisory-committee-on-the-medical-implications-of-less-lethal-weapons	ministry-of-defence
PB403	VAPC	Advisory non-departmental public body	veterans-advisory-and-pensions-committees-x13	Veterans Advisory and Pensions Committees	https://www.gov.uk/government/organisations/veterans-advisory-and-pensions-committees-x13	ministry-of-defence
OT404	SCC	Other	service-complaints-commissioner	Service Complaints Commissioner	https://www.gov.uk/government/organisations/service-complaints-commissioner	ministry-of-defence
OT405	DA	Other	defence-academy	Defence Academy of the United Kingdom	https://www.gov.uk/government/organisations/defence-academy	ministry-of-defence
OT406	SPA	Other	service-prosecuting-authority	Service Prosecuting Authority	https://www.gov.uk/government/organisations/service-prosecuting-authority	ministry-of-defence
OT408	DPBAC	Other	defence-press-and-broadcasting-advisory-committee	Defence, Press and Broadcasting Advisory Committee	https://www.gov.uk/government/organisations/defence-press-and-broadcasting-advisory-committee	ministry-of-defence
OT409	RNSM	Other	royal-navy-submarine-museum	Royal Navy Submarine Museum	https://www.gov.uk/government/organisations/royal-navy-submarine-museum	ministry-of-defence
OT411	DSFC	Other	defence-sixth-form-college	Defence Sixth Form College	https://www.gov.uk/government/organisations/defence-sixth-form-college	ministry-of-defence
PB413		Executive non-departmental public body	office-of-the-children-s-commissioner	Office of the Children's Commissioner	https://www.gov.uk/government/organisations/office-of-the-children-s-commissioner	department-for-education
PB414	STRB	Advisory non-departmental public body	school-teachers-review-body	School Teachers' Review Body	https://www.gov.uk/government/organisations/school-teachers-review-body	department-for-education
PB415	NFC	Executive non-departmental public body	national-forest-company	National Forest Company	https://www.gov.uk/government/organisations/national-forest-company	department-for-environment-food-rural-affairs
PB420	AWC	Executive non-departmental public body	agricultural-wages-committee-x13	Agricultural Wages Committee	https://www.gov.uk/government/organisations/agricultural-wages-committee-x13	department-for-environment-food-rural-affairs
PB421	ADHAC	Advisory non-departmental public body	agricultural-dwelling-house-advisory-committees-x16	Agricultural Dwelling House Advisory Committees (x16)	https://www.gov.uk/government/organisations/agricultural-dwelling-house-advisory-committees-x16	department-for-environment-food-rural-affairs
PB423	PVST	Tribunal non-departmental public body	plant-varieties-and-seeds-tribunal	Plant Varieties and Seeds Tribunal	https://www.gov.uk/government/organisations/plant-varieties-and-seeds-tribunal	department-for-environment-food-rural-affairs
OT425	DWI	Other	drinking-water-inspectorate	Drinking Water Inspectorate	https://www.gov.uk/government/organisations/drinking-water-inspectorate	department-for-environment-food-rural-affairs
PB426	GBCC	Executive non-departmental public body	great-britain-china-centre	Great Britain-China Centre	https://www.gov.uk/government/organisations/great-britain-china-centre	foreign-commonwealth-office
PC427	BBCWS	Public corporation	bbc-world-service	BBC World Service	https://www.gov.uk/government/organisations/bbc-world-service	foreign-commonwealth-office
OT428	BCNI	Advisory non-departmental public body	boundary-commission-for-northern-ireland	Boundary Commission for Northern Ireland	https://www.gov.uk/government/organisations/boundary-commission-for-northern-ireland	northern-ireland-office
OT429	NIHRC	Executive non-departmental public body	northern-ireland-human-rights-commission	Northern Ireland Human Rights Commission	https://www.gov.uk/government/organisations/northern-ireland-human-rights-commission	northern-ireland-office
OT430	PCNI	Executive non-departmental public body	parades-commission-for-northern-ireland	Parades Commission for Northern Ireland	https://www.gov.uk/government/organisations/parades-commission-for-northern-ireland	northern-ireland-office
OT431	BCS	Advisory non-departmental public body	boundary-commission-for-scotland	Boundary Commission for Scotland	https://www.gov.uk/government/organisations/boundary-commission-for-scotland	scotland-office
OT432	BCW	Advisory non-departmental public body	boundary-commission-for-wales	Boundary Commission for Wales	https://www.gov.uk/government/organisations/boundary-commission-for-wales	cabinet-office
OT433		Other	the-adjudicator-s-office	The Adjudicator’s Office	https://www.gov.uk/government/organisations/the-adjudicator-s-office	hm-revenue-customs
PB434	RMAC	Advisory non-departmental public body	royal-mint-advisory-committee	Royal Mint Advisory Committee	https://www.gov.uk/government/organisations/royal-mint-advisory-committee	hm-treasury
D435	SCUK	Non-ministerial department	supreme-court-of-the-united-kingdom	Supreme Court of the United Kingdom	https://www.gov.uk/government/organisations/supreme-court-of-the-united-kingdom	
PB436	AJTC	Advisory non-departmental public body	administrative-justice-and-tribunals-council	Administrative Justice and Tribunals Council	https://www.gov.uk/government/organisations/administrative-justice-and-tribunals-council	ministry-of-justice
PB437	ACJP	Advisory non-departmental public body	advisory-committees-on-justices-of-the-peace	Advisory Committees on Justices of the Peace	https://www.gov.uk/government/organisations/advisory-committees-on-justices-of-the-peace	ministry-of-justice
PB438	ACNRA	Advisory non-departmental public body	the-advisory-council-on-national-records-and-archives	The Advisory Council on National Records and Archives	https://www.gov.uk/government/organisations/the-advisory-council-on-national-records-and-archives	department-for-culture-media-sport
PB440	CPRC	Advisory non-departmental public body	civil-procedure-rules-committee	Civil Procedure Rule Committee	https://www.gov.uk/government/organisations/civil-procedure-rules-committee	ministry-of-justice
PB441	FJC	Advisory non-departmental public body	family-justice-council	Family Justice Council	https://www.gov.uk/government/organisations/family-justice-council	ministry-of-justice
PB442	FPRC	Advisory non-departmental public body	family-procedure-rule-committee	Family Procedure Rule Committee	https://www.gov.uk/government/organisations/family-procedure-rule-committee	ministry-of-justice
PB443	IAPDC	Advisory non-departmental public body	independent-advisory-panel-on-deaths-in-custody	Independent Advisory Panel on Deaths in Custody	https://www.gov.uk/government/organisations/independent-advisory-panel-on-deaths-in-custody	ministry-of-justice
OT444	IMBPIRC	Other	independent-monitoring-boards-of-prisons-immigration-removal-centres-and-short-term-holding-rooms	Independent Monitoring Boards of Prisons, Immigration, Removal Centres and Short Term Holding Rooms	https://www.gov.uk/government/organisations/independent-monitoring-boards-of-prisons-immigration-removal-centres-and-short-term-holding-rooms	ministry-of-justice
PB445	IRC	Advisory non-departmental public body	insolvency-rules-committee	Insolvency Rules Committee	https://www.gov.uk/government/organisations/insolvency-rules-committee	department-for-business-energy-and-industrial-strategy
PB446	PSPRB	Advisory non-departmental public body	prison-services-pay-review-body	Prison Service Pay Review Body	https://www.gov.uk/government/organisations/prison-services-pay-review-body	ministry-of-justice
PB448	TPC	Advisory non-departmental public body	tribunal-procedure-committee	Tribunal Procedure Committee	https://www.gov.uk/government/organisations/tribunal-procedure-committee	ministry-of-justice
PB456	IPCC	Executive non-departmental public body	independent-police-complaint-commission	Independent Police Complaints Commission	https://www.gov.uk/government/organisations/independent-police-complaint-commission	home-office
PB457	OSC	Tribunal non-departmental public body	office-of-surveillance-commissioners	Office of Surveillance Commissioners	https://www.gov.uk/government/organisations/office-of-surveillance-commissioners	home-office
PB458	PNB	Advisory non-departmental public body	police-negotiating-board	Police Negotiating Board	https://www.gov.uk/government/organisations/police-negotiating-board	home-office
PB459	DOR	Executive non-departmental public body	directly-operated-railways-limited	Directly Operated Railways Limited	https://www.gov.uk/government/organisations/directly-operated-railways-limited	department-for-transport
PB460	HS2 Ltd	Executive non-departmental public body	high-speed-two-limited	High Speed Two (HS2) Limited	https://www.gov.uk/government/organisations/high-speed-two-limited	department-for-transport
PB461	BTPA	Executive non-departmental public body	british-transport-police-authority	British Transport Police Authority	https://www.gov.uk/government/organisations/british-transport-police-authority	department-for-transport
PB462	TLS	Executive non-departmental public body	trinity-house	Trinity House	https://www.gov.uk/government/organisations/trinity-house	department-for-transport
PB463	NLB	Executive non-departmental public body	northern-lighthouse-board	Northern Lighthouse Board	https://www.gov.uk/government/organisations/northern-lighthouse-board	department-for-transport
PB464	PF	Executive non-departmental public body	passenger-focus	Passenger Focus	https://www.gov.uk/government/organisations/passenger-focus	department-for-transport
PB465	TC	Tribunal non-departmental public body	traffic-commissioners	Traffic Commissioners for Great Britain	https://www.gov.uk/government/organisations/traffic-commissioners	department-for-transport
PB466	RHC	Executive non-departmental public body	railway-heritage-committee	Railway Heritage Committee	https://www.gov.uk/government/organisations/railway-heritage-committee	department-for-transport
PC467	BRBR	Public corporation	brb-residuary-ltd	BRB (Residuary) Ltd	https://www.gov.uk/government/organisations/brb-residuary-ltd	department-for-transport
PC468	TP	Other	trust-ports	Trust ports	https://www.gov.uk/government/organisations/trust-ports	department-for-transport
PC469	CAA	Public corporation	civil-aviation-authority	Civil Aviation Authority	https://www.gov.uk/government/organisations/civil-aviation-authority	department-for-transport
PC472	MAIB	Other	marine-accident-investigation-branch	Marine Accident Investigation Branch	https://www.gov.uk/government/organisations/marine-accident-investigation-branch	department-for-transport
PB474	NICE	Executive non-departmental public body	national-institute-for-clinical-excellence	National Institute for Health and Care Excellence	https://www.gov.uk/government/organisations/national-institute-for-clinical-excellence	department-of-health
PB477	RBGC	Advisory non-departmental public body	review-board-for-government-contracts	Review Board for Government Contracts	https://www.gov.uk/government/organisations/review-board-for-government-contracts	ministry-of-defence
EA480	PHE	Executive agency	public-health-england	Public Health England	https://www.gov.uk/government/organisations/public-health-england	department-of-health
PB481		Executive non-departmental public body	nhs-commissioning-board	NHS England	https://www.gov.uk/government/organisations/nhs-commissioning-board	department-of-health
OT483	HRA	Executive non-departmental public body	health-research-authority	Health Research Authority	https://www.gov.uk/government/organisations/health-research-authority	department-of-health
OT484	NHS TDA	Executive non-departmental public body	nhs-trust-development-authority	NHS Trust Development Authority	https://www.gov.uk/government/organisations/nhs-trust-development-authority	department-of-health
OT486	NHSBT	Executive non-departmental public body	nhs-blood-and-transplant	NHS Blood and Transplant	https://www.gov.uk/government/organisations/nhs-blood-and-transplant	department-of-health
OT488	NHSLA	Executive non-departmental public body	nhs-litigation-authority	NHS Litigation Authority	https://www.gov.uk/government/organisations/nhs-litigation-authority	department-of-health
PB491	APPSI	Advisory non-departmental public body	advisory-panel-on-public-sector-information	Advisory Panel on Public Sector Information	https://www.gov.uk/government/organisations/advisory-panel-on-public-sector-information	ministry-of-justice
OT492	Chevening	Other	chevening-foundation	Chevening Scholarship Programme 	https://www.gov.uk/government/organisations/chevening-foundation	foreign-commonwealth-office
PC493	LCR	Public corporation	london-and-continental-railways-ltd	London and Continental Railways Ltd	https://www.gov.uk/government/organisations/london-and-continental-railways-ltd	department-for-transport
OT494		Other	airports-commission	Airports Commission	https://www.gov.uk/government/organisations/airports-commission	department-for-transport
OT495	DE&S	Sub-organisation	defence-equipment-and-support	Defence Equipment and Support	https://www.gov.uk/government/organisations/defence-equipment-and-support	ministry-of-defence
OT496	DIO	Sub-organisation	defence-infrastructure-organisation	Defence Infrastructure Organisation	https://www.gov.uk/government/organisations/defence-infrastructure-organisation	ministry-of-defence
OT498	JFC	Sub-organisation	joint-forces-command	Joint Forces Command	https://www.gov.uk/government/organisations/joint-forces-command	ministry-of-defence
PB500	ShEx	Other	the-shareholder-executive	The Shareholder Executive	https://www.gov.uk/government/organisations/the-shareholder-executive	department-for-business-innovation-skills
PB501	WNDC	Executive non-departmental public body	the-west-northamptonshire-development-corporation	West Northamptonshire Development Corporation	https://www.gov.uk/government/organisations/the-west-northamptonshire-development-corporation	department-for-communities-and-local-government
OT502	OLS	Sub-organisation	office-for-life-sciences	Office for Life Sciences	https://www.gov.uk/government/organisations/office-for-life-sciences	department-of-health;department-for-business-energy-and-industrial-strategy
PB503	LGO	Other	local-government-ombudsman	Local Government Ombudsman	https://www.gov.uk/government/organisations/local-government-ombudsman	department-for-communities-and-local-government
OT504	CFRA	Sub-organisation	chief-fire-and-rescue-adviser-unit	Chief Fire and Rescue Adviser	https://www.gov.uk/government/organisations/chief-fire-and-rescue-adviser-unit	home-office
OT505		Sub-organisation	national-security	National security and intelligence	https://www.gov.uk/government/organisations/national-security	cabinet-office
OT506	GEO	Other	government-equalities-office	Government Equalities Office  	https://www.gov.uk/government/organisations/government-equalities-office	department-for-education
OT507	ERG	Sub-organisation	efficiency-and-reform-group	Efficiency and Reform Group	https://www.gov.uk/government/organisations/efficiency-and-reform-group	cabinet-office
PB508		Executive non-departmental public body	board-of-trustees-of-the-royal-botanic-gardens-kew	Board of Trustees of the Royal Botanic Gardens Kew	https://www.gov.uk/government/organisations/board-of-trustees-of-the-royal-botanic-gardens-kew	department-for-environment-food-rural-affairs
PB509	DBS	Executive non-departmental public body	disclosure-and-barring-service	Disclosure and Barring Service	https://www.gov.uk/government/organisations/disclosure-and-barring-service	home-office
PB510	SMCP Commission	Advisory non-departmental public body	social-mobility-and-child-poverty-commission	Social Mobility and Child Poverty Commission	https://www.gov.uk/government/organisations/social-mobility-and-child-poverty-commission	cabinet-office;department-for-education;department-for-work-pensions
OT511	Independent Reviewer	Other	independent-reviewer-of-terrorism-legislation	Independent Reviewer of Terrorism Legislation	https://www.gov.uk/government/organisations/independent-reviewer-of-terrorism-legislation	home-office
OT512	ISC	Other	intelligence-services-commissioner	Intelligence Services Commissioner	https://www.gov.uk/government/organisations/intelligence-services-commissioner	home-office
OT513	Interception Commissioner	Other	interception-of-communications-commissioner	Interception of Communications Commissioner	https://www.gov.uk/government/organisations/interception-of-communications-commissioner	home-office
OT514	OLEV	Sub-organisation	office-for-low-emission-vehicles	Office for Low Emission Vehicles	https://www.gov.uk/government/organisations/office-for-low-emission-vehicles	department-for-transport;department-for-business-energy-and-industrial-strategy
OT515	OPC	Sub-organisation	office-of-the-parliamentary-counsel	Office of the Parliamentary Counsel	https://www.gov.uk/government/organisations/office-of-the-parliamentary-counsel	cabinet-office
PB516		Advisory non-departmental public body	criminal-procedure-rule-committee	Criminal Procedure Rule Committee	https://www.gov.uk/government/organisations/criminal-procedure-rule-committee	ministry-of-justice
OT517		Other	commissioner-for-public-appointments	Commissioner for Public Appointments	https://www.gov.uk/government/organisations/commissioner-for-public-appointments	cabinet-office
OT518	TMC	Other	mckay-commission	The McKay Commission	https://www.gov.uk/government/organisations/mckay-commission	cabinet-office
OT519	The Ombudsman	Other	the-parliamentary-and-health-service-ombudsman	The Parliamentary and Health Service Ombudsman 	https://www.gov.uk/government/organisations/the-parliamentary-and-health-service-ombudsman	
OT520	BIT	Other	behavioural-insights-team	Behavioural Insights Team	https://www.gov.uk/government/organisations/behavioural-insights-team	
PB521	IPT	Tribunal non-departmental public body	insolvency-practitioners-tribunal	Insolvency Practitioners Tribunal	https://www.gov.uk/government/organisations/insolvency-practitioners-tribunal	department-for-business-energy-and-industrial-strategy
OT522	ACCEA	Advisory non-departmental public body	advisory-committee-on-clinical-excellence-awards	Advisory Committee on Clinical Excellence Awards	https://www.gov.uk/government/organisations/advisory-committee-on-clinical-excellence-awards	department-of-health
PB523	ARSAC	Advisory non-departmental public body	administration-of-radioactive-substances-advisory-committee	Administration of Radioactive Substances Advisory Committee	https://www.gov.uk/government/organisations/administration-of-radioactive-substances-advisory-committee	department-of-health
PB524		Advisory non-departmental public body	british-pharmacopoeia	British Pharmacopoeia Commission	https://www.gov.uk/government/organisations/british-pharmacopoeia	department-of-health
PB525	CHM	Advisory non-departmental public body	commission-on-human-medicines	Commission on Human Medicines	https://www.gov.uk/government/organisations/commission-on-human-medicines	department-of-health
PB526	COM	Advisory non-departmental public body	committee-on-mutagenicity-of-chemicals-in-food-consumer-products-and-the-environment	Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment	https://www.gov.uk/government/organisations/committee-on-mutagenicity-of-chemicals-in-food-consumer-products-and-the-environment	department-of-health;food-standards-agency
PB527	IRP	Advisory non-departmental public body	independent-reconfiguration-panel	Independent Reconfiguration Panel	https://www.gov.uk/government/organisations/independent-reconfiguration-panel	department-of-health
OT529	NHSBSA	Executive non-departmental public body	nhs-business-services-authority	NHS Business Services Authority	https://www.gov.uk/government/organisations/nhs-business-services-authority	department-of-health
PB530	DDRB	Advisory non-departmental public body	review-body-on-doctors-and-dentists-remuneration	Review Body on Doctors' and Dentists' Remuneration	https://www.gov.uk/government/organisations/review-body-on-doctors-and-dentists-remuneration	department-of-health
PB531	NHSPRB	Advisory non-departmental public body	nhs-pay-review-body	NHS Pay Review Body	https://www.gov.uk/government/organisations/nhs-pay-review-body	department-of-health
OT532	Number 10	Executive office	prime-ministers-office-10-downing-street	Prime Minister's Office, 10 Downing Street	https://www.gov.uk/government/organisations/prime-ministers-office-10-downing-street	cabinet-office
OT533		Sub-organisation	investigation-into-the-role-of-jimmy-savile-at-broadmoor-hospital	Broadmoor Hospital investigation	https://www.gov.uk/government/organisations/investigation-into-the-role-of-jimmy-savile-at-broadmoor-hospital	department-of-health
PB534	ASC	Advisory non-departmental public body	animals-in-science-committee	Animals in Science Committee	https://www.gov.uk/government/organisations/animals-in-science-committee	home-office
OT535	BF	Sub-organisation	border-force	Border Force	https://www.gov.uk/government/organisations/border-force	home-office
OT536	FSR	Other	forensic-science-regulator	Forensic Science Regulator	https://www.gov.uk/government/organisations/forensic-science-regulator	home-office
OT537	DPMO	Executive office	deputy-prime-ministers-office	Deputy Prime Minister's Office	https://www.gov.uk/government/organisations/deputy-prime-ministers-office	cabinet-office
OT538	HSCIC	Executive non-departmental public body	health-and-social-care-information-centre	Health and Social Care Information Centre	https://www.gov.uk/government/organisations/health-and-social-care-information-centre	department-of-health
OT539	HEE	Executive non-departmental public body	health-education-england	Health Education England	https://www.gov.uk/government/organisations/health-education-england	department-of-health
OT540	IUK	Sub-organisation	infrastructure-uk	Infrastructure UK	https://www.gov.uk/government/organisations/infrastructure-uk	hm-treasury
EA541	NCTL	Executive agency	national-college-for-teaching-and-leadership	National College for Teaching and Leadership	https://www.gov.uk/government/organisations/national-college-for-teaching-and-leadership	department-for-education
OT543		Other	northumberland-national-park-authority	Northumberland National Park Authority	https://www.gov.uk/government/organisations/northumberland-national-park-authority	department-for-environment-food-rural-affairs
OT545	PDNP	Other	peak-district-national-park	Peak District National Park Authority	https://www.gov.uk/government/organisations/peak-district-national-park	department-for-environment-food-rural-affairs
OT546	SDNP	Other	south-downs-national-park-authority	South Downs National Park Authority	https://www.gov.uk/government/organisations/south-downs-national-park-authority	department-for-environment-food-rural-affairs
OT547	YDNP	Other	yorkshire-dales-national-park-authority	Yorkshire Dales National Park Authority	https://www.gov.uk/government/organisations/yorkshire-dales-national-park-authority	department-for-environment-food-rural-affairs
OT548		Other	biometrics-commissioner	Biometrics Commissioner	https://www.gov.uk/government/organisations/biometrics-commissioner	home-office
OT549	GEM	Other	government-estates-management	Government Estates Management	https://www.gov.uk/government/organisations/government-estates-management	cabinet-office
D550	CMA	Non-ministerial department	competition-and-markets-authority	Competition and Markets Authority	https://www.gov.uk/government/organisations/competition-and-markets-authority	department-for-business-energy-and-industrial-strategy
OT551	GCA	Other	groceries-code-adjudicator	Groceries Code Adjudicator	https://www.gov.uk/government/organisations/groceries-code-adjudicator	department-for-business-energy-and-industrial-strategy
OT552	SCC	Other	surveillance-camera-commissioner	Surveillance Camera Commissioner	https://www.gov.uk/government/organisations/surveillance-camera-commissioner	home-office
OT553	CIC Regulator	Other	office-of-the-regulator-of-community-interest-companies	Office of the Regulator of Community Interest Companies	https://www.gov.uk/government/organisations/office-of-the-regulator-of-community-interest-companies	department-for-business-energy-and-industrial-strategy
OT554	UKVI	Sub-organisation	uk-visas-and-immigration	UK Visas and Immigration	https://www.gov.uk/government/organisations/uk-visas-and-immigration	home-office
OT555	GO-Science	Other	government-office-for-science	Government Office for Science	https://www.gov.uk/government/organisations/government-office-for-science	department-for-business-energy-and-industrial-strategy
EA556	LAA	Executive agency	legal-aid-agency	Legal Aid Agency	https://www.gov.uk/government/organisations/legal-aid-agency	ministry-of-justice
OT557	ECO	Sub-organisation	export-control-organisation	Export Control Organisation	https://www.gov.uk/government/organisations/export-control-organisation	department-for-international-trade
PB558	NCA	Non-ministerial department	national-crime-agency	National Crime Agency	https://www.gov.uk/government/organisations/national-crime-agency	
OT559	Healthcare UK	Sub-organisation	healthcare-uk	Healthcare UK	https://www.gov.uk/government/organisations/healthcare-uk	department-of-health;uk-trade-investment
OT563	CESG	Sub-organisation	cesg	CESG	https://www.gov.uk/government/organisations/cesg	government-communications-headquarters
OT564	BVD	Sub-organisation	bona-vacantia	Bona Vacantia	https://www.gov.uk/government/organisations/bona-vacantia	government-legal-department
OT565		Other	morecambe-bay-investigation	Morecambe Bay Investigation	https://www.gov.uk/government/organisations/morecambe-bay-investigation	department-of-health
OT566	OPS	Sub-organisation	open-public-services	Open Public Services	https://www.gov.uk/government/organisations/open-public-services	cabinet-office
