government-organisation	name	website	type	start-date	end date
department-for-international-trade	Department for International Trade	government/organisations/department-for-international-trade	Ministerial department		
department-for-regional-development	Department for Regional Development	government/organisations/department-for-regional-development	Ministerial department		
department-for-social-development	Department for Social Development	government/organisations/department-for-social-development	Ministerial department		
department-for-the-economy-northern-ireland	Department for the Economy (Northern Ireland)	government/organisations/department-for-the-economy-northern-ireland	Other		
department-for-transport	Department for Transport	government/organisations/department-for-transport	Ministerial department		
department-for-work-pensions	Department for Work and Pensions	government/organisations/department-for-work-pensions	Ministerial department		
department-of-agriculture-and-rural-development	Department of Agriculture and Rural Development	government/organisations/department-of-agriculture-and-rural-development	Ministerial department		
department-of-agriculture-environment-and-rural-affairs-northern-ireland	"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)"	government/organisations/department-of-agriculture-environment-and-rural-affairs-northern-ireland	Other		
department-of-constitutional-affairs	Department of Constitutional Affairs	government/organisations/department-of-constitutional-affairs	Ministerial department		09/05/2007
department-of-culture-arts-and-leisure	"Department of Culture, Arts and Leisure"	government/organisations/department-of-culture-arts-and-leisure	Ministerial department		
department-of-culture-arts-and-leisure-northern-ireland	"Department of Culture, Arts and Leisure Northern Ireland"	government/organisations/department-of-culture-arts-and-leisure-northern-Ireland	Executive agency		
department-of-education	Department of Education (Northern Ireland)	government/organisations/department-of-education	Other		
department-of-energy-climate-change	Department of Energy & Climate Change	government/organisations/department-of-energy-climate-change	Ministerial department		14/07/2016
department-of-enterprise-trade-and-investment	"Department of Enterprise, Trade and Investment"	government/organisations/department-of-enterprise-trade-and-investment	Ministerial department		
department-of-finance-and-personnel-for-northern-ireland	Department of Finance and Personnel for Northern Ireland	government/organisations/department-of-finance-and-personnel-for-northern-ireland	Ministerial department		
department-of-finance-northern-ireland	Department of Finance (Northern Ireland)	government/organisations/department-of-finance-northern-Ireland	Other		
department-of-health	Department of Health	government/organisations/department-of-health	Ministerial department		
department-of-health-northern-ireland	Department of Health (Northern Ireland)	government/organisations/department-of-health-northern-Ireland	Other		
department-of-health-social-services-and-public-safety	"Department of Health, Social Services and Public Safety"	government/organisations/department-of-health-social-services-and-public-safety	Ministerial department		
department-of-inland-revenue	Department of Inland Revenue	government/organisations/department-of-inland-revenue	Ministerial department		2005-il-Ap
department-of-justice-northern-ireland	Department of Justice (Northern Ireland)	government/organisations/department-of-justice-northern-Ireland	Other		
department-of-national-heritage	Department of National Heritage	government/organisations/department-of-national-heritage	Other		1997
department-of-social-security	Department of Social Security	government/organisations/department-of-social-security	Ministerial department		2001
department-of-the-environment	Department of the Environment (Northern Ireland)	government/organisations/department-of-the-environment	Ministerial department		
department-of-the-environment-transport-and-the-regions	"Department of the Environment, Transport and the Regions"	government/organisations/department-of-the-environment-transport-and-the-regions	Other		2001
department-of-trade-and-industry	Department of Trade and Industry	government/organisations/department-of-trade-and-industry	Ministerial department		
deputy-prime-ministers-office	Deputy Prime Minister's Office	government/organisations/deputy-prime-ministers-office	Executive office		08/05/2015
derby-north-east-education-action-zone	Derby North East Education Action Zone	government/organisations/derby-north-east-education-action-zone	Other		16/04/2005
design-council	Design Council	government/organisations/design-council	Other		closed
digital-data-and-technology-professions	"Digital, data and technology professions"	government/organisations/digital-data-and-technology-professions	Sub-organisation		
dingle-granby-toxteth-education-action-zone	Dingle Granby Toxteth Education Action Zone	government/organisations/dingle-granby-toxteth-education-action-zone	Other		09/01/2005
directly-operated-railways-limited	Directly Operated Railways Limited	government/organisations/directly-operated-railways-limited	Executive non-departmental public body		
disability-and-carers-service	Disability and Carers Service	government/organisations/disability-and-carers-service	Executive agency		2008
disability-rights-commission	Disability Rights Commission	government/organisations/disability-rights-commission	Other		01/10/2007
disabled-peoples-employment-corporation	Disabled PeopleÕs Employment Corporation	government/organisations/disabled-peoples-employment-corporation	Executive non-departmental public body		
disabled-persons-transport-advisory-committee	Disabled Persons Transport Advisory Committee	government/organisations/disabled-persons-transport-advisory-committee	Advisory non-departmental public body		
disclosure-and-barring-service	Disclosure and Barring Service	government/organisations/disclosure-and-barring-service	Executive non-departmental public body		
disposal-services-agency	Disposal Services Agency	government/organisations/disposal-services-agency	Executive agency		01/04/2007
district-valuer-services-dvs	District Valuer Services (DVS)	government/organisations/district-valuer-services-dvs	Sub-organisation		
dormant-assets-commission	Independent Dormant Assets Commission	government/organisations/dormant-assets-commission	Advisory non-departmental public body		
downham-and-bellingham-education-action-zone	Downham and Bellingham Education Action Zone	government/organisations/downham-and-bellingham-education-action-zone	Other		09/01/2005
drinking-water-inspectorate	Drinking Water Inspectorate	government/organisations/drinking-water-inspectorate	Other		
driver-and-vehicle-licensing-agency	Driver and Vehicle Licensing Agency	government/organisations/driver-and-vehicle-licensing-agency	Executive agency		
driver-and-vehicle-standards-agency	Driver and Vehicle Standards Agency	government/organisations/driver-and-vehicle-standards-agency	Executive agency		
driver-and-vehicle-testing-agency	Driver and Vehicle Testing Agency	government/organisations/driver-and-vehicle-testing-agency	Executive agency		2007
driving-standards-agency	Driving Standards Agency	government/organisations/driving-standards-agency	Executive agency		01/04/2014
dudley-education-action-zone	Dudley Education Action Zone	government/organisations/dudley-education-action-zone	Other		30/11/2004
easington-and-seaham-education-action-zone	Easington and Seaham Education Action Zone	government/organisations/easington-and-seaham-education-action-zone	Other		09/01/2005
east-cleveland-education-action-zone	East Cleveland Education Action Zone	government/organisations/east-cleveland-education-action-zone	Other		09/01/2005
east-manchester-education-action-zone	East Manchester Education Action Zone	government/organisations/east-manchester-education-action-zone	Other		30/11/2004
east-midlands-development-agency-emda	East Midlands Development Agency (emda)	government/organisations/east-midlands-development-agency-emda	Executive agency		30/03/2012
east-of-england-development-agency	East of England Development Agency	government/organisations/east-of-england-development-agency	Executive agency		01/07/2012
eastern-health-and-social-services-board	Eastern Health and Social Services Board	government/organisations/eastern-health-and-social-services-board	Other		closed
ebbsfleet-development-corporation	Ebbsfleet Development Corporation	government/organisations/ebbsfleet-development-corporation	Executive non-departmental public body		
economic-and-social-research-council	Economic and Social Research Council	government/organisations/economic-and-social-research-council	Executive non-departmental public body		
education-funding-agency	Education Funding Agency	government/organisations/education-funding-agency	Executive agency		
efficiency-and-reform-group	Efficiency and Reform Group	government/organisations/efficiency-and-reform-group	Sub-organisation		
eliasch-review	Eliasch Review	government/organisations/eliasch-review	Other		closed
ellesmere-port-education-action-zone	Ellesmere Port Education Action Zone	government/organisations/ellesmere-port-education-action-zone	Other		09/01/2005
employment-appeal-tribunal	Employment Appeal Tribunal	courts-tribunals/employment-appeal-tribunal	Tribunal non-departmental public body		
employment-tribunal	Employment Tribunal	employment-tribunals	Tribunal non-departmental public body		
engineering-and-physical-sciences-research-council	Engineering and Physical Sciences Research Council	government/organisations/engineering-and-physical-sciences-research-council	Executive non-departmental public body		
engineering-construction-industry-training-board	Engineering Construction Industry Training Board	government/organisations/engineering-construction-industry-training-board	Executive non-departmental public body		
english-heritage	English Heritage	government/organisations/english-heritage	Executive non-departmental public body		01/04/2015
english-institute-of-sport	English Institute of Sport	government/organisations/english-institute-of-sport	Other		
english-nature	English Nature	government/organisations/english-nature	Executive agency		01/10/2006
english-partnerships	English Partnerships	government/organisations/english-partnerships	Executive agency		01/12/2008
english-sports-council	English Sports Council	government/organisations/english-sports-council	Other		1997
enterprise-ulster	Enterprise Ulster	government/organisations/enterprise-ulster	Other		21/03/2006
environment-agency	Environment Agency	government/organisations/environment-agency	Executive non-departmental public body		
environment-and-heritage-service	Environment and Heritage Service	government/organisations/environment-and-heritage-service	Executive agency		
equal-opportunities-commission	Equal Opportunities Commission	government/organisations/equal-opportunities-commission	Other		30/09/2007
equality-2025	Equality 2025	government/organisations/equality-2025	Advisory non-departmental public body		2013-09
equality-and-human-rights-commission	Equality and Human Rights Commission	government/organisations/equality-and-human-rights-commission	Executive non-departmental public body		
equality-commission-for-northern-ireland	Equality Commission for Northern Ireland	government/organisations/equality-commission-for-northern-Ireland	Other		
equitable-life-inquiry	Equitable Life Inquiry	government/organisations/equitable-life-inquiry	Other		2000-12
estyn	Estyn	government/organisations/estyn	Other		
examination-team-on-child-care-procedures-and-practice-in-north-wales	Examination team on child care procedures and practice in North Wales	government/organisations/examination-team-on-child-care-procedures-and-practice-in-north-wales	Other		17/06/1996
exchequer-and-audit-department	Exchequer and Audit Department	government/organisations/exchequer-and-audit-department	Ministerial department		1983
exmoor-national-park-authority	Exmoor National Park Authority	government/organisations/exmoor-national-park-authority	Other		
export-control-organisation	Export Control Organisation	government/organisations/export-control-organisation	Sub-organisation		
export-guarantees-advisory-council	Export Guarantees Advisory Council	government/organisations/export-guarantees-advisory-council	Advisory non-departmental public body		
family-division-of-the-high-court	Family Division of the High Court	courts-tribunals/family-division-of-the-high-court	Court		
family-health-services-appeal-authority	Family Health Services Appeal Authority	government/organisations/family-health-services-appeal-authority	Other		31/03/2015
family-justice-council	Family Justice Council	government/organisations/family-justice-council	Advisory non-departmental public body		
family-procedure-rule-committee	Family Procedure Rule Committee	government/organisations/family-procedure-rule-committee	Advisory non-departmental public body		
fco-services	FCO Services	government/organisations/fco-services	Executive agency		
financial-conduct-authority	Financial Conduct Authority	government/organisations/financial-conduct-authority	Other		
financial-services-organisation	Financial Services Organisation	government/organisations/financial-services-organisation	Sub-organisation		
financial-services-trade-and-investment-board	Financial Services Trade and Investment Board	government/organisations/financial-services-trade-and-investment-board	Sub-organisation		
fire-authority-for-northern-ireland	Fire Authority for Northern Ireland	government/organisations/fire-authority-for-northern-Ireland	Other		
fire-service-college	Fire Service College	government/organisations/fire-service-college	Other		
firearms-consultative-committee	Firearms Consultative Committee	government/organisations/firearms-consultative-committee	Other		31/01/2004
firebuy	Firebuy	government/organisations/firebuy	Other		13/07/2011
first-tier-tribunal-asylum-support	First-tier Tribunal (Asylum Support)	government/organisations/first-tier-tribunal-asylum-support	Tribunal non-departmental public body		
first-tier-tribunal-care-standards	First-tier Tribunal (Care Standards)	government/organisations/first-tier-tribunal-care-standards	Tribunal non-departmental public body		
first-tier-tribunal-criminal-injuries-compensation	First-tier Tribunal (Criminal Injuries Compensation)	government/organisations/first-tier-tribunal-criminal-injuries-compensation	Tribunal non-departmental public body		
first-tier-tribunal-general-regulatory-chamber	First-tier Tribunal (General Regulatory Chamber)	government/organisations/first-tier-tribunal-general-regulatory-chamber	Tribunal non-departmental public body		
first-tier-tribunal-immigration-and-asylum	First-tier Tribunal (Immigration and Asylum)	government/organisations/first-tier-tribunal-immigration-and-asylum	Tribunal non-departmental public body		
first-tier-tribunal-mental-health	First-tier Tribunal (Mental Health)	government/organisations/first-tier-tribunal-mental-health	Tribunal non-departmental public body		
first-tier-tribunal-property-chamber	First-tier Tribunal (Property Chamber)	government/organisations/first-tier-tribunal-property-chamber	Tribunal non-departmental public body		
first-tier-tribunal-social-security-and-child-support	First-tier Tribunal (Social Security and Child Support)	government/organisations/first-tier-tribunal-social-security-and-child-support	Tribunal non-departmental public body		
first-tier-tribunal-special-educational-needs-and-disability	First-tier Tribunal (Special Educational Needs and Disability)	government/organisations/first-tier-tribunal-special-educational-needs-and-disability	Tribunal non-departmental public body		
first-tier-tribunal-tax	First-tier Tribunal (Tax)	government/organisations/first-tier-tribunal-tax	Tribunal non-departmental public body		
first-tier-tribunal-war-pensions-and-armed-forces-compensation	First-tier Tribunal (War Pensions and Armed Forces Compensation)	government/organisations/first-tier-tribunal-war-pensions-and-armed-forces-compensation	Tribunal non-departmental public body		
fisheries-conservancy-board-for-northern-ireland	Fisheries Conservancy Board for Northern Ireland	government/organisations/fisheries-conservancy-board-for-northern-Ireland	Other		
fleet-air-arm-museum	Fleet Air Arm Museum	government/organisations/fleet-air-arm-museum	Other		
food-from-britain	Food from Britain	government/organisations/food-from-britain	Other		31/03/2009
food-safety-promotion-board	Food Safety Promotion Board	government/organisations/food-safety-promotion-board	Other		
food-standards-agency	Food Standards Agency	government/organisations/food-standards-agency	Non-ministerial department		
football-licensing-authority	Football Licensing Authority	government/organisations/football-licensing-authority	Other		14/10/2010
foreign-commonwealth-office	Foreign & Commonwealth Office	government/organisations/foreign-commonwealth-office	Ministerial department		
foreign-compensation-commission	Foreign Compensation Commission	government/organisations/foreign-compensation-commission	Tribunal non-departmental public body		
forensic-science-northern-ireland	Forensic Science Northern Ireland	government/organisations/forensic-science-northern-Ireland	Executive agency		
forensic-science-regulator	Forensic Science Regulator	government/organisations/forensic-science-regulator	Other		
forensic-science-service	Forensic Science Service	government/organisations/forensic-science-service	Other		04/12/2005
forest-enterprise-england	Forest Enterprise (England)	government/organisations/forest-enterprise-england	Executive agency		
forest-research	Forest Research	government/organisations/forest-research	Executive agency		
forest-service	Forest Service	government/organisations/forest-service	Other		
forestry-commission	Forestry Commission	government/organisations/forestry-commission	Non-ministerial department		
further-and-higher-education-funding-councils-for-wales	Further and Higher Education Funding Councils for Wales	government/organisations/further-and-higher-education-funding-councils-for-wales	Other		
gambling-commission	Gambling Commission	government/organisations/gambling-commission	Executive non-departmental public body		
gaming-board-for-great-britain	Gaming Board for Great Britain	government/organisations/gaming-board-for-great-britain	Other		01/09/2007
gangmasters-licensing-appeals	Gangmasters Licensing Appeals	courts-tribunals/gangmasters-licensing-appeals	Tribunal non-departmental public body		
gangmasters-licensing-authority	Gangmasters Licensing Authority	government/organisations/gangmasters-licensing-authority	Executive non-departmental public body		
gas-and-electricity-consumer-council-energywatch	Gas and Electricity Consumer Council (Energywatch)	government/organisations/gas-and-electricity-consumer-council-energywatch	Other		2008
geffrye-museum	Geffrye Museum	government/organisations/geffrye-museum	Executive non-departmental public body		
general-advisory-committee-on-science	General Advisory Committee on Science	government/organisations/general-advisory-committee-on-science	Advisory non-departmental public body		
general-consumer-council-for-northern-ireland	General Consumer Council for Northern Ireland	government/organisations/general-consumer-council-for-northern-Ireland	Other		
general-social-care-council	General Social Care Council	government/organisations/general-social-care-council	Other		30/09/2012
general-teaching-council-for-england	General Teaching Council for England	government/organisations/general-teaching-council-for-england	Executive agency		31/03/2012
gloucester-education-action-zone	Gloucester Education Action Zone	government/organisations/gloucester-education-action-zone	Other		09/01/2005
government-actuarys-department	Government Actuary's Department	government/organisations/government-actuarys-department	Non-ministerial department		
government-car-and-despatch-agency	Government Car and Despatch Agency	government/organisations/government-car-and-despatch-agency	Executive agency		30/12/2009
government-chemist	Government Chemist	government/organisations/government-chemist	Sub-organisation		
government-commercial-function	Government Commercial Function	government/organisations/government-commercial-function	Sub-organisation		
government-communications-headquarters	Government Communications Headquarters	government/organisations/government-communications-headquarters	Other		
government-digital-service	Government Digital Service	government/organisations/government-digital-service	Sub-organisation		
government-equalities-office	Government Equalities Office	government/organisations/government-equalities-office	Other		
government-estates-management	Government Estates Management	government/organisations/government-estates-management	Other		
government-internal-audit-agency	Government Internal Audit Agency	government/organisations/government-internal-audit-agency	Executive agency		
government-legal-department	Government Legal Department	government/organisations/government-legal-department	Non-ministerial department		
government-office-for-science	Government Office for Science	government/organisations/government-office-for-science	Other		
government-procurement-service	Government Procurement Service	government/organisations/government-procurement-service	Executive agency		01/04/2014
government-security-profession	Government Security Profession	government/organisations/government-security-profession	Sub-organisation		
gowers-review-of-intellectual-property	Gowers Review of Intellectual Property	government/organisations/gowers-review-of-intellectual-property	Other		2006-12
great-britain-china-centre	Great Britain-China Centre	government/organisations/great-britain-china-centre	Executive non-departmental public body		
great-yarmouth-education-action-zone	Great Yarmouth Education Action Zone	government/organisations/great-yarmouth-education-action-zone	Other		16/04/2005
greenwich-education-action-zone	Greenwich Education Action Zone	government/organisations/greenwich-education-action-zone	Other		05/09/2004
groceries-code-adjudicator	Groceries Code Adjudicator	government/organisations/groceries-code-adjudicator	Other		
hackney-education-action-zone	Hackney Education Action Zone	government/organisations/hackney-education-action-zone	Other		30/11/2004
hamilton-oxford-education-action-zone	Hamilton Oxford Education Action Zone	government/organisations/hamilton-oxford-education-action-zone	Other		06/09/2004
hastings-and-st-leonards-education-action-zone	Hastings and St Leonards Education Action Zone	government/organisations/hastings-and-st-leonards-education-action-zone	Other		30/11/2004
health-and-safety-executive	Health and Safety Executive	government/organisations/health-and-safety-executive	Executive non-departmental public body		
health-and-social-care-information-centre	Health and Social Care Information Centre	government/organisations/health-and-social-care-information-centre	Executive non-departmental public body		
health-education-england	Health Education England	government/organisations/health-education-england	Executive non-departmental public body		
health-protection-agency	Health Protection Agency	government/organisations/health-protection-agency	Executive agency		01/04/2013
health-research-authority	Health Research Authority	government/organisations/health-research-authority	Executive non-departmental public body		
healthcare-commission	Healthcare Commission	government/organisations/healthcare-commission	Other		31/03/2009
healthcare-uk	Healthcare UK	government/organisations/healthcare-uk	Sub-organisation		
hearing-aid-council	Hearing Aid Council	government/organisations/hearing-aid-council	Other		31/07/2010
heart-of-slough-education-action-zone	Heart of Slough Education Action Zone	government/organisations/heart-of-slough-education-action-zone	Other		
her-majestys-magistrates-courts-service-inspectorate	Her Majesty's Magistrates Courts Service Inspectorate	government/organisations/her-majestys-magistrates-courts-servuce-inspectorate	Other		closed
heritage-lottery-fund	Heritage Lottery Fund (administered by the NHMF)	government/organisations/heritage-lottery-fund	Executive non-departmental public body		
high-speed-two-limited	High Speed Two (HS2) Limited	government/organisations/high-speed-two-limited	Executive non-departmental public body		
higher-education-funding-council-for-england	Higher Education Funding Council for England	government/organisations/higher-education-funding-council-for-england	Executive non-departmental public body		
higher-education-statistical-agency	Higher Education Statistics Agency	government/organisations/higher-education-statistical-agency	Other		closed
highways-agency	Highways Agency	government/organisations/highways-agency	Executive agency		01/04/2015
highways-england	Highways England	government/organisations/highways-england	Other		
hillsborough-independent-panel	Hillsborough Independent Panel	government/organisations/hillsborough-independent-panel	Other		12/09/2012
historic-england	Historic England	government/organisations/historic-england	Executive non-departmental public body		
historic-royal-palaces	Historic Royal Palaces	government/organisations/historic-royal-palaces	Public corporation		
hm-court-service	HM Courts Service	government/organisations/hm-court-service	Executive agency		
hm-courts-and-tribunals-service	HM Courts & Tribunals Service	government/organisations/hm-courts-and-tribunals-service	Executive agency		
hm-crown-prosecution-service-inspectorate	HM Crown Prosecution Service Inspectorate	government/organisations/hm-crown-prosecution-service-inspectorate	Other		
hm-customs-and-excise	H.M. Customs and Excise	government/organisations/hm-customs-and-excise	Other		2005-04
hm-inspectorate-of-constabulary	HM Inspectorate of Constabulary	government/organisations/hm-inspectorate-of-constabulary	Other		
hm-inspectorate-of-court-administration	H.M. Inspectorate of Court Administration	government/organisations/hm-inspectorate-of-court-administration	Other		2010-12
hm-inspectorate-of-explosives-for-northern-ireland	H.M. Inspectorate of Explosives for Northern Ireland	government/organisations/hm-inspectorate-of-explosives-for-northern-Ireland	Other		closed
hm-inspectorate-of-prisons	HM Inspectorate of Prisons	government/organisations/hm-inspectorate-of-prisons	Other		
hm-inspectorate-of-probation	HM Inspectorate of Probation	government/organisations/hm-inspectorate-of-probation	Other		
hm-nautical-almanac-office	HM Nautical Almanac Office	government/organisations/hm-nautical-almanac-office	Sub-organisation		
hm-passport-office	HM Passport Office	government/organisations/hm-passport-office	Sub-organisation		
hm-prison-service	HM Prison Service	government/organisations/hm-prison-service	Executive agency		
hm-revenue-customs	HM Revenue & Customs	government/organisations/hm-revenue-customs	Non-ministerial department		
hm-treasury	HM Treasury	government/organisations/hm-treasury	Ministerial department		
home-grown-cereals-authority	Home-Grown Cereals Authority	government/organisations/home-grown-cereals-authority	Other		31/03/2008
home-office	Home Office	government/organisations/home-office	Ministerial department		
homes-and-communities-agency	Homes and Communities Agency	government/organisations/homes-and-communities-agency	Executive non-departmental public body		
horniman-museum	Horniman Public Museum and Public Park Trust	government/organisations/horniman-museum	Executive non-departmental public body		
horserace-betting-levy-board	Horserace Betting Levy Board	government/organisations/horserace-betting-levy-board	Executive non-departmental public body		
horticultural-development-council	Horticultural Development Council	government/organisations/horticultural-development-council	Other		01/04/2008
house-of-lords-appointments-commission	House of Lords Appointments Commission	government/organisations/house-of-lords-appointments-commission	Advisory non-departmental public body		
housing-corporation	Housing Corporation	government/organisations/housing-corporation	Executive agency		01/12/2008
housing-ombudsman	Housing Ombudsman	government/organisations/housing-ombudsman	Executive non-departmental public body		
human-fertilisation-and-embryology-authority	Human Fertilisation and Embryology Authority	government/organisations/human-fertilisation-and-embryology-authority	Executive non-departmental public body		
human-tissue-authority	Human Tissue Authority	government/organisations/human-tissue-authority	Executive non-departmental public body		
hybu-cig-cymru-meat-promotion-wales	Hybu Cig Cymru - Meat Promotion Wales	government/organisations/hybu-cig-cymru-meat-promotion-wales	Other		
icl-inquiry	ICL Inquiry	government/organisations/icl-inquiry	Other		closed
identity-and-passport-service	Identity and Passport Service	government/organisations/identity-and-passport-service	Other		closed
immigration-enforcement	Immigration Enforcement	government/organisations/immigration-enforcement	Sub-organisation		
imperial-war-museum	Imperial War Museum	government/organisations/imperial-war-museum	Executive non-departmental public body		
independent-advisory-panel-on-deaths-in-custody	Independent Advisory Panel on Deaths in Custody	government/organisations/independent-advisory-panel-on-deaths-in-custody	Advisory non-departmental public body		
independent-agricultural-appeals-panel	Independent Agricultural Appeals Panel	government/organisations/independent-agricultural-appeals-panel	Advisory non-departmental public body		
independent-anti-slavery-commissioner	Independent Anti-slavery Commissioner	government/organisations/independent-anti-slavery-commissioner	Independent monitoring body		
independent-case-examiner	Independent Case Examiner	government/organisations/independent-case-examiner	Other		
independent-commission-for-aid-impact	Independent Commission for Aid Impact	government/organisations/independent-commission-for-aid-impact	Advisory non-departmental public body		
independent-commission-on-freedom-of-information	Independent Commission on Freedom of Information	government/organisations/independent-commission-on-freedom-of-information	Advisory non-departmental public body		
independent-complaints-reviewer	Independent Complaints Reviewer	government/organisations/independent-complaints-reviewer	Other		
independent-family-returns-panel	Independent Family Returns Panel	government/organisations/independent-family-returns-panel	Other		
independent-living-fund	Independent Living Fund	government/organisations/independent-living-fund	Executive non-departmental public body		30/06/2015
independent-medical-expert-group	Independent Medical Expert Group	government/organisations/independent-medical-expert-group	Advisory non-departmental public body		
independent-monitoring-boards-of-prisons-immigration-removal-centres-and-short-term-holding-rooms	"Independent Monitoring Boards of Prisons, Immigration, Removal Centres and Short Term Holding Rooms"	government/organisations/independent-monitoring-boards-of-prisons-immigration-removal-centres-and-short-term-holding-rooms	Other		
independent-monitoring-commission	Independent Monitoring Commission	government/organisations/independent-monitoring-commission	Other		2011
independent-police-complaint-commission	Independent Police Complaints Commission	government/organisations/independent-police-complaint-commission	Executive non-departmental public body		
independent-reconfiguration-panel	Independent Reconfiguration Panel	government/organisations/independent-reconfiguration-panel	Advisory non-departmental public body		
independent-review-of-police-officer-and-staff-remuneration-and-conditions	Independent Review of Police Officer and Staff Remuneration and Conditions	government/organisations/independent-review-of-police-officer-and-staff-remuneration-and-conditions	Other		closed
independent-review-of-the-uk-postal-services-sector	Independent Review of the UK Postal Services Sector	government/organisations/independent-review-of-the-uk-postal-services-sector	Other		2008-12
independent-reviewer-of-terrorism-legislation	Independent Reviewer of Terrorism Legislation	government/organisations/independent-reviewer-of-terrorism-legislation	Other		
independent-safeguarding-authority	Independent Safeguarding Authority	government/organisations/independent-safeguarding-authority	Other		30/11/2014
independent-television-commission	Independent Television Commission	government/organisations/independent-television-commission	Other		28/12/2003
industrial-development-advisory-board	Industrial Development Advisory Board	government/organisations/industrial-development-advisory-board	Advisory non-departmental public body		
industrial-injuries-advisory-council	Industrial Injuries Advisory Council	government/organisations/industrial-injuries-advisory-council	Advisory non-departmental public body		
information-commissioner-s-office	Information Commissioner's Office	government/organisations/information-commissioner-s-office	Executive non-departmental public body		
information-services-division-scotland	Information Services Division (Scotland)	government/organisations/information-services-division-scotland	Other		
infrastructure-and-projects-authority	Infrastructure and Projects Authority	government/organisations/infrastructure-and-projects-authority	Sub-organisation		
infrastructure-planning-commission	Infrastructure Planning Commission	government/organisations/infrastructure-planning-commission	Other		31/01/2012
infrastructure-uk	Infrastructure UK	government/organisations/infrastructure-uk	Sub-organisation		01/01/2016
innovate-uk	Innovate UK	government/organisations/innovate-uk	Executive non-departmental public body		
inquiry-into-the-supervision-of-the-bank-of-credit-and-commerce-international	Inquiry into the supervision of the Bank of Credit and Commerce International	government/organisations/inquiry-into-the-supervision-of-the-bank-of-credit-and-commerce-international	Other		1992
insolvency-practitioners-tribunal	Insolvency Practitioners Tribunal	government/organisations/insolvency-practitioners-tribunal	Tribunal non-departmental public body		
insolvency-rules-committee	Insolvency Rules Committee	government/organisations/insolvency-rules-committee	Advisory non-departmental public body		
insolvency-service	The Insolvency Service	government/organisations/insolvency-service	Executive agency		
intellectual-property-enterprise-court	Intellectual Property Enterprise Court	courts-tribunals/intellectual-property-enterprise-court	Court		
intellectual-property-office	Intellectual Property Office	government/organisations/intellectual-property-office	Executive agency		
intelligence-services-commissioner	Intelligence Services Commissioner	government/organisations/intelligence-services-commissioner	Other		
interception-of-communications-commissioner	Interception of Communications Commissioner	government/organisations/interception-of-communications-commissioner	Other		
investigation-into-the-role-of-jimmy-savile-at-broadmoor-hospital	Broadmoor Hospital investigation	government/organisations/investigation-into-the-role-of-jimmy-savile-at-broadmoor-hospital	Sub-organisation		
investigatory-powers-tribunal	Investigatory Powers Tribunal	government/organisations/investigatory-powers-tribunal	Tribunal non-departmental public body		
investors-in-people-uk	Investors in People UK	government/organisations/investors-in-people-uk	Other		
iraq-inquiry	Iraq Inquiry	government/organisations/iraq-inquiry	Other		2009
jeffrey-review	The Jeffrey Review	government/organisations/jeffrey-review	Other		2014-05
joint-forces-command	Joint Forces Command	government/organisations/joint-forces-command	Sub-organisation		
joint-nature-conservation-committee	Joint Nature Conservation Committee	government/organisations/joint-nature-conservation-committee	Executive non-departmental public body		
judicial-appointments-and-conduct-ombudsman	Judicial Appointments and Conduct Ombudsman	government/organisations/judicial-appointments-and-conduct-ombudsman	Other		
judicial-appointments-commission	Judicial Appointments Commission	government/organisations/judicial-appointments-commission	Executive non-departmental public body		
kent-and-somerset-education-action-zone	Kent and Somerset Education Action Zone	government/organisations/kent-and-somerset-education-action-zone	Other		30/11/2004
kerr-haslam-inquiry	Kerr / Haslam Inquiry	government/organisations/kerr-haslam-inquiry	Other		18/07/2005
kitts-green-and-shard-end-education-action-zone	Kitts Green and Shard End Education Action Zone	government/organisations/kitts-green-and-shard-end-education-action-zone	Other		closed
labour-relations-agency	Labour Relations Agency	government/organisations/labour-relations-agency	Executive agency		
lake-district-national-park-authority	Lake District National Park Authority	government/organisations/lake-district-national-park-authority	Other		
lammy-review	Lammy Review	government/organisations/lammy-review	Other		
land-registers-of-northern-ireland	Land Registers of Northern Ireland	government/organisations/land-registers-of-northern-Ireland	Executive agency		
land-registration-rule-committee	Land Registration Rule Committee	government/organisations/land-registration-rule-committee	Advisory non-departmental public body		
land-registry	Land Registry	government/organisations/land-registry	Non-ministerial department		
law-commission	Law Commission	government/organisations/law-commission	Advisory non-departmental public body		
learning-and-skills-council	Learning and Skills Council	government/organisations/learning-and-skills-council	Executive agency		01/04/2010
leasehold-advisory-service	Leasehold Advisory Service	government/organisations/leasehold-advisory-service	Executive non-departmental public body		
legal-aid-agency	Legal Aid Agency	government/organisations/legal-aid-agency	Executive agency		
legal-aid-board	Legal Aid Board	government/organisations/legal-aid-board	Other		2000
legal-services-board	Legal Services Board	government/organisations/legal-services-board	Executive non-departmental public body		
legal-services-commission	Legal Services Commission	government/organisations/legal-services-commission	Executive agency		01/04/2013
leigh-park-education-action-zone	Leigh Park Education Action Zone	government/organisations/leigh-park-education-action-zone	Other		09/01/2005
leitch-review-of-skills	Leitch Review of Skills	government/organisations/leitch-review-of-skills	Other		2006-12
leveson-inquiry	Leveson Inquiry	government/organisations/leveson-inquiry	Other		2012
life-sentence-review-commissioners	Life Sentence Review Commissioners	government/organisations/life-sentence-review-commissioners	Other		
