government-organisation	name	website	type	start-date	end date
bbc-world-service	BBC World Service	government/organisations/bbc-world-service	Public corporation		
bedford-education-action-zone	Bedford Education Action Zone	government/organisations/bedford-education-action-zone	Other		
behavioural-insights-team	Behavioural Insights Team	government/organisations/behavioural-insights-team	Other		05/02/2014
better-regulation-delivery-office	Better Regulation Delivery Office	government/organisations/better-regulation-delivery-office	Other		
big-lottery-fund	Big Lottery Fund	government/organisations/big-lottery-fund	Executive non-departmental public body		
billy-wright-inquiry	Billy Wright Inquiry	government/organisations/billy-wright-inquiry	Other		
biometrics-commissioner	Biometrics Commissioner	government/organisations/biometrics-commissioner	Other		
biotechnology-biological-sciences-research-council	Biotechnology and Biological Sciences Research Council	government/organisations/biotechnology-biological-sciences-research-council	Executive non-departmental public body		
bloody-sunday-inquiry	Bloody Sunday Inquiry	government/organisations/bloody-sunday-inquiry	Other		
board-of-banking-supervision	Board of Banking Supervision	government/organisations/board-of-banking-supervision	Other		
board-of-inland-revenue	Board of Inland Revenue	government/organisations/board-of-inland-revenue	Other		
board-of-trustees-of-the-royal-botanic-gardens-kew	Board of Trustees of the Royal Botanic Gardens Kew	government/organisations/board-of-trustees-of-the-royal-botanic-gardens-kew	Executive non-departmental public body		
bolton-education-action-zone	Bolton Education Action Zone	government/organisations/bolton-education-action-zone	Other		
bona-vacantia	Bona Vacantia	government/organisations/bona-vacantia	Sub-organisation		
border-force	Border Force	government/organisations/border-force	Sub-organisation		
boundary-commission-for-england	Boundary Commission for England	government/organisations/boundary-commission-for-england	Advisory non-departmental public body		
boundary-commission-for-northern-ireland	Boundary Commission for Northern Ireland	government/organisations/boundary-commission-for-northern-Ireland	Advisory non-departmental public body		
boundary-commission-for-scotland	Boundary Commission for Scotland	government/organisations/boundary-commission-for-Scotland	Advisory non-departmental public body		
boundary-commission-for-wales	Boundary Commission for Wales	government/organisations/boundary-commission-for-wales	Advisory non-departmental public body		
brb-residuary-ltd	BRB (Residuary) Ltd	government/organisations/brb-residuary-ltd	Public corporation		
bridgwater-education-action-zone	Bridgwater Education Action Zone	government/organisations/bridgwater-education-action-zone	Other		
bristol-education-action-zone	Bristol Education Action Zone	government/organisations/bristol-education-action-zone	Other		
british-business-bank	British Business Bank	government/organisations/british-business-bank	Other		
british-cattle-movement-service	British Cattle Movement Service	government/organisations/british-cattle-movement-service	Sub-organisation		
british-council	British Council	government/organisations/british-council	Executive non-departmental public body		
british-educational-communications-and-technology-agency	British Educational Communications and Technology Agency	government/organisations/british-educational-communications-and-technology-agency	Executive agency		31/03/2011
british-film-institute	British Film Institute	government/organisations/british-film-institute	Executive non-departmental public body		
british-forces-post-office	British Forces Post Office	government/organisations/british-forces-post-office	Other		
british-hallmarking-council	British Hallmarking Council	government/organisations/british-hallmarking-council	Executive non-departmental public body		
british-library	British Library	government/organisations/british-library	Executive non-departmental public body		
british-museum	British Museum	government/organisations/british-museum	Executive non-departmental public body		
