government-organisation	name	website	government-organisation-type	parent-bodies	text	crest	official-colour	abbreviation	start-date	end date
animal-health-and-veterinary-laboratories-agency	Animal Health and Veterinary Laboratories Agency	https://www.gov.uk/government/organisations/animal-health-and-veterinary-laboratories-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				AHVLA		01-04-2011
animal-procedures-committee	Animal Procedures Committee	https://www.gov.uk/government/organisations/animal-procedures-committee	Other							12-2012
animals-in-science-committee	Animals in Science Committee	https://www.gov.uk/government/organisations/animals-in-science-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/home-office				ASC		
appeals-service-agency	Appeals Service Agency	https://www.gov.uk/government/organisations/appeals-service-agency	Executive agency							
architects-registration-board	Architects Registration Board	https://www.gov.uk/government/organisations/architects-registration-board	Public corporation	https://www.gov.uk/api/organisations/department-for-communities-and-local-government				ARB		
armagh-observatory-and-planetarium	Armagh Observatory and Planetarium	https://www.gov.uk/government/organisations/armagh-observatory-and-planetarium	Other							
armed-forces-pay-review-body	Armed Forces' Pay Review Body	https://www.gov.uk/government/organisations/armed-forces-pay-review-body	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				AFPRB		
armed-forces-personnel-administration-agency	Armed Forces Personnel Administration Agency	https://www.gov.uk/government/organisations/armed-forces-personnel-administration-agency	Executive agency							04-2007
army-base-repair-organisation	Army Base Repair Organisation	https://www.gov.uk/government/organisations/army-base-repair-organisation	Executive agency							01-04-2008
arts-and-humanities-research-council	Arts and Humanities Research Council	https://www.gov.uk/government/organisations/arts-and-humanities-research-council	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				AHRC		
arts-council-england	Arts Council England	https://www.gov.uk/government/organisations/arts-council-england	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport						
arts-council-of-northern-ireland	Arts Council of Northern Ireland	https://www.gov.uk/government/organisations/arts-council-of-northern-Ireland	Executive agency							
arts-council-of-wales	Arts Council of Wales	https://www.gov.uk/government/organisations/arts-council-of-wales	Other							
ashington-education-action-zone	Ashington Education Action Zone	https://www.gov.uk/government/organisations/ashington-education-action-zone	Other							
asset-protection-agency	Asset Protection Agency	https://www.gov.uk/government/organisations/asset-protection-agency	Executive agency							31-12-2012
assets-recovery-agency	Assets Recovery Agency	https://www.gov.uk/government/organisations/assets-recovery-agency	Executive agency							01-04-2008
