government-organisation	name	website	government-organisation-type	parent-bodies	text	crest	official-colour	abbreviation	start-date	end date
department-for-business-innovation-skills	"Department for Business, Innovation & Skills"	https://www.gov.uk/government/organisations/department-for-business-innovation-skills	Ministerial department			bis_crest	#003479	BIS		14-07-2016
department-for-children-schools-and-families	"Department for Children, Schools and Families"	https://www.gov.uk/government/organisations/department-for-children-schools-and-families	Ministerial department							
department-for-communities-and-local-government	Department for Communities and Local Government	https://www.gov.uk/government/organisations/department-for-communities-and-local-government	Ministerial department			org-crest	#00857e	DCLG		
department-for-communities-northern-ireland	Department for Communities (Northern Ireland)	https://www.gov.uk/government/organisations/department-for-communities-northern-Ireland	Other							
department-for-constitutional-affairs	Department for Constitutional Affairs	https://www.gov.uk/government/organisations/department-for-constitutional-affairs	Ministerial department							
department-for-culture-media-sport	"Department for Culture, Media & Sport"	https://www.gov.uk/government/organisations/department-for-culture-media-sport	Ministerial department			org-crest	#d40072	DCMS		
department-for-education	Department for Education	https://www.gov.uk/government/organisations/department-for-education	Ministerial department			org-crest	#003a69	DfE		
department-for-education-and-skills	Department for Education and Skills	https://www.gov.uk/government/organisations/department-for-education-and-skills	Ministerial department							2007
department-for-employment-and-learning	Department for Employment and Learning	https://www.gov.uk/government/organisations/department-for-employment-and-learning	Ministerial department							
department-for-environment-food-rural-affairs	"Department for Environment, Food & Rural Affairs"	https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs	Ministerial department			org-crest	#898700	Defra		
department-for-exiting-the-european-union	Department for Exiting the European Union	https://www.gov.uk/government/organisations/department-for-exiting-the-european-union	Ministerial department					DExEU		
department-for-infrastructure-northern-ireland	Department for Infrastructure (Northern Ireland)	https://www.gov.uk/government/organisations/department-for-infrastructure-northern-Ireland	Other							
department-for-innovation-universities-and-skills	"Department for Innovation, Universities and Skills"	https://www.gov.uk/government/organisations/department-for-innovation-universities-and-skills	Ministerial department							06-2009
department-for-international-development	Department for International Development	https://www.gov.uk/government/organisations/department-for-international-development	Ministerial department			org-crest	#002878	DFID		
department-for-international-trade	Department for International Trade	https://www.gov.uk/government/organisations/department-for-international-trade	Ministerial department					DIT		
department-for-regional-development	Department for Regional Development	https://www.gov.uk/government/organisations/department-for-regional-development	Ministerial department							
department-for-social-development	Department for Social Development	https://www.gov.uk/government/organisations/department-for-social-development	Ministerial department							
department-for-the-economy-northern-ireland	Department for the Economy (Northern Ireland)		Other							
department-for-transport	Department for Transport	https://www.gov.uk/government/organisations/department-for-transport	Ministerial department			org-crest	#006c56	DFT		
department-for-work-pensions	Department for Work and Pensions	https://www.gov.uk/government/organisations/department-for-work-pensions	Ministerial department			org-crest	#00beb7	DWP		
department-of-agriculture-and-rural-development	Department of Agriculture and Rural Development	https://www.gov.uk/government/organisations/department-of-agriculture-and-rural-development	Ministerial department							
department-of-agriculture-environment-and-rural-affairs-northern-ireland	"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)"	https://www.daera-ni.gov.uk/	Other							
department-of-constitutional-affairs	Department of Constitutional Affairs	https://www.gov.uk/government/organisations/department-of-constitutional-affairs	Ministerial department							09-05-2007
department-of-culture-arts-and-leisure	"Department of Culture, Arts and Leisure"	https://www.gov.uk/government/organisations/department-of-culture-arts-and-leisure	Ministerial department							
department-of-culture-arts-and-leisure-northern-ireland	"Department of Culture, Arts and Leisure Northern Ireland"	https://www.gov.uk/government/organisations/department-of-culture-arts-and-leisure-northern-Ireland	Executive agency					DCAL		
department-of-education	Department of Education (Northern Ireland)	https://www.gov.uk/government/organisations/department-of-education	Other							
department-of-energy-climate-change	Department of Energy & Climate Change	https://www.gov.uk/government/organisations/department-of-energy-climate-change	Ministerial department			org-crest	#009ddb	DECC		14-7-2016
department-of-enterprise-trade-and-investment	"Department of Enterprise, Trade and Investment"	https://www.gov.uk/government/organisations/department-of-enterprise-trade-and-investment	Ministerial department							
department-of-finance-and-personnel-for-northern-ireland	Department of Finance and Personnel for Northern Ireland	https://www.finance-ni.gov.uk/	Ministerial department							
department-of-finance-northern-ireland	Department of Finance (Northern Ireland)	https://www.gov.uk/government/organisations/department-of-finance-northern-Ireland	Other							
department-of-health	Department of Health	https://www.gov.uk/government/organisations/department-of-health	Ministerial department			org-crest	#00ad93	DH		
department-of-health-northern-ireland	Department of Health (Northern Ireland)	https://www.gov.uk/government/organisations/department-of-health-northern-Ireland	Other							
department-of-health-social-services-and-public-safety	"Department of Health, Social Services and Public Safety"	https://www.gov.uk/government/organisations/department-of-health-social-services-and-public-safety	Ministerial department							
department-of-inland-revenue	Department of Inland Revenue	https://www.gov.uk/government/organisations/department-of-inland-revenue	Ministerial department							April 2005
department-of-justice-northern-ireland	Department of Justice (Northern Ireland)	https://www.gov.uk/government/organisations/department-of-justice-northern-Ireland	Other							
department-of-national-heritage	Department of National Heritage	https://www.gov.uk/government/organisations/department-of-national-heritage	Other							1997
department-of-social-security	Department of Social Security	https://www.gov.uk/government/organisations/department-of-social-security	Ministerial department							2001
department-of-the-environment	Department of the Environment (Northern Ireland)	https://www.gov.uk/government/organisations/department-of-the-environment	Ministerial department							
department-of-the-environment-transport-and-the-regions	"Department of the Environment, Transport and the Regions"	https://www.gov.uk/government/organisations/department-of-the-environment-transport-and-the-regions	Other							2001
department-of-trade-and-industry	Department of Trade and Industry	https://www.gov.uk/government/organisations/department-of-trade-and-industry	Ministerial department							
deputy-prime-ministers-office	Deputy Prime Minister's Office	https://www.gov.uk/government/organisations/deputy-prime-ministers-office	Executive office	https://www.gov.uk/api/organisations/cabinet-office				DPMO		08-05-2015
derby-north-east-education-action-zone	Derby North East Education Action Zone	https://www.gov.uk/government/organisations/derby-north-east-education-action-zone	Other							16 April 2005
design-council	Design Council	https://www.gov.uk/government/organisations/design-council	Other							independant
digital-data-and-technology-professions	"Digital, data and technology professions"	https://www.gov.uk/government/organisations/digital-data-and-technology-professions	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
dingle-granby-toxteth-education-action-zone	Dingle Granby Toxteth Education Action Zone	https://www.gov.uk/government/organisations/dingle-granby-toxteth-education-action-zone	Other							09-01-2005
directly-operated-railways-limited	Directly Operated Railways Limited	https://www.gov.uk/government/organisations/directly-operated-railways-limited	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-transport				DOR		
disability-and-carers-service	Disability and Carers Service	https://www.gov.uk/government/organisations/disability-and-carers-service	Executive agency							2008
disability-rights-commission	Disability Rights Commission	https://www.gov.uk/government/organisations/disability-rights-commission	Other							01-10-2007
disabled-peoples-employment-corporation	Disabled People’s Employment Corporation	https://www.gov.uk/government/organisations/disabled-peoples-employment-corporation	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-work-pensions				DPEC		
disabled-persons-transport-advisory-committee	Disabled Persons Transport Advisory Committee	https://www.gov.uk/government/organisations/disabled-persons-transport-advisory-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-transport				DPTAC		
disclosure-and-barring-service	Disclosure and Barring Service	https://www.gov.uk/government/organisations/disclosure-and-barring-service	Executive non-departmental public body	https://www.gov.uk/api/organisations/home-office				DBS		
disposal-services-agency	Disposal Services Agency	https://www.gov.uk/government/organisations/disposal-services-agency	Executive agency							01-04-2007
district-valuer-services-dvs	District Valuer Services (DVS)	https://www.gov.uk/government/organisations/district-valuer-services-dvs	Sub-organisation	https://www.gov.uk/api/organisations/valuation-office-agency				DVS		
dormant-assets-commission	Independent Dormant Assets Commission	https://www.gov.uk/government/organisations/dormant-assets-commission	Advisory non-departmental public body							
downham-and-bellingham-education-action-zone	Downham and Bellingham Education Action Zone	https://www.gov.uk/government/organisations/downham-and-bellingham-education-action-zone	Other							09-01-2005
drinking-water-inspectorate	Drinking Water Inspectorate	https://www.gov.uk/government/organisations/drinking-water-inspectorate	Other	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				DWI		
driver-and-vehicle-licensing-agency	Driver and Vehicle Licensing Agency	https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-transport				DVLA		
driver-and-vehicle-standards-agency	Driver and Vehicle Standards Agency	https://www.gov.uk/government/organisations/driver-and-vehicle-standards-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-transport				DVSA		
driver-and-vehicle-testing-agency	Driver and Vehicle Testing Agency	https://www.gov.uk/government/organisations/driver-and-vehicle-testing-agency	Executive agency							2007
driving-standards-agency	Driving Standards Agency	https://www.gov.uk/government/organisations/driving-standards-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-transport				DSA		01-04-2014
dudley-education-action-zone	Dudley Education Action Zone	https://www.gov.uk/government/organisations/dudley-education-action-zone	Other							30-11-2004
easington-and-seaham-education-action-zone	Easington and Seaham Education Action Zone	https://www.gov.uk/government/organisations/easington-and-seaham-education-action-zone	Other							09-01-2005
east-cleveland-education-action-zone	East Cleveland Education Action Zone	https://www.gov.uk/government/organisations/east-cleveland-education-action-zone	Other							09-01-2005
east-manchester-education-action-zone	East Manchester Education Action Zone	https://www.gov.uk/government/organisations/east-manchester-education-action-zone	Other							30/11/2004
east-midlands-development-agency-emda	East Midlands Development Agency (emda)	https://www.gov.uk/government/organisations/east-midlands-development-agency-emda	Executive agency							30-03-2012
east-of-england-development-agency	East of England Development Agency	https://www.gov.uk/government/organisations/east-of-england-development-agency	Executive agency							01-07-2012
eastern-health-and-social-services-board	Eastern Health and Social Services Board	https://www.gov.uk/government/organisations/eastern-health-and-social-services-board	Other							find
ebbsfleet-development-corporation	Ebbsfleet Development Corporation	https://www.gov.uk/government/organisations/ebbsfleet-development-corporation	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-communities-and-local-government						
economic-and-social-research-council	Economic and Social Research Council	https://www.gov.uk/government/organisations/economic-and-social-research-council	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				ESRC		
education-funding-agency	Education Funding Agency	https://www.gov.uk/government/organisations/education-funding-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-education				EFA		
efficiency-and-reform-group	Efficiency and Reform Group	https://www.gov.uk/government/organisations/efficiency-and-reform-group	Sub-organisation	https://www.gov.uk/api/organisations/cabinet-office				ERG		
eliasch-review	Eliasch Review	https://www.gov.uk/government/organisations/eliasch-review	Other							find
ellesmere-port-education-action-zone	Ellesmere Port Education Action Zone	https://www.gov.uk/government/organisations/ellesmere-port-education-action-zone	Other							09-01-2005
employment-appeal-tribunal	Employment Appeal Tribunal	https://www.gov.uk/courts-tribunals/employment-appeal-tribunal	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
employment-tribunal	Employment Tribunal	https://www.gov.uk/employment-tribunals	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
engineering-and-physical-sciences-research-council	Engineering and Physical Sciences Research Council	https://www.gov.uk/government/organisations/engineering-and-physical-sciences-research-council	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				EPSRC		
engineering-construction-industry-training-board	Engineering Construction Industry Training Board	https://www.gov.uk/government/organisations/engineering-construction-industry-training-board	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-education				ECITB		
english-heritage	English Heritage	https://www.gov.uk/government/organisations/english-heritage	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				EH		01-04-2015
english-institute-of-sport	English Institute of Sport	https://www.gov.uk/government/organisations/english-institute-of-sport	Other	https://www.gov.uk/api/organisations/department-for-culture-media-sport						
english-nature	English Nature	https://www.gov.uk/government/organisations/english-nature	Executive agency							1-10-2006
english-partnerships	English Partnerships	https://www.gov.uk/government/organisations/english-partnerships	Executive agency							01-12-2008
english-sports-council	English Sports Council	https://www.gov.uk/government/organisations/english-sports-council	Other							1997
enterprise-ulster	Enterprise Ulster	https://www.gov.uk/government/organisations/enterprise-ulster	Other							21-03-2006
environment-agency	Environment Agency	https://www.gov.uk/government/organisations/environment-agency	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				EA		
environment-and-heritage-service	Environment and Heritage Service	https://www.gov.uk/government/organisations/environment-and-heritage-service	Executive agency							
equal-opportunities-commission	Equal Opportunities Commission	https://www.gov.uk/government/organisations/equal-opportunities-commission	Other							30-09-2007
equality-2025	Equality 2025	https://www.gov.uk/government/organisations/equality-2025	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-work-pensions				E2025		09-2013
equality-and-human-rights-commission	Equality and Human Rights Commission	https://www.gov.uk/government/organisations/equality-and-human-rights-commission	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-education				EHRC		
equality-commission-for-northern-ireland	Equality Commission for Northern Ireland	https://www.gov.uk/government/organisations/equality-commission-for-northern-Ireland	Other							
equitable-life-inquiry	Equitable Life Inquiry	https://www.gov.uk/government/organisations/equitable-life-inquiry	Other							December 2000
estyn	Estyn	https://www.gov.uk/government/organisations/estyn	Other							
examination-team-on-child-care-procedures-and-practice-in-north-wales	Examination team on child care procedures and practice in North Wales	https://www.gov.uk/government/organisations/examination-team-on-child-care-procedures-and-practice-in-north-wales	Other							17-06-1996
exchequer-and-audit-department	Exchequer and Audit Department	https://www.gov.uk/government/organisations/exchequer-and-audit-department	Ministerial department							1983
exmoor-national-park-authority	Exmoor National Park Authority	https://www.gov.uk/government/organisations/exmoor-national-park-authority	Other	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				Exmoor		
export-control-organisation	Export Control Organisation	https://www.gov.uk/government/organisations/export-control-organisation	Sub-organisation	https://www.gov.uk/api/organisations/department-for-international-trade				ECO		
export-guarantees-advisory-council	Export Guarantees Advisory Council	https://www.gov.uk/government/organisations/export-guarantees-advisory-council	Advisory non-departmental public body	https://www.gov.uk/api/organisations/uk-export-finance				EGAC		
family-division-of-the-high-court	Family Division of the High Court	https://www.gov.uk/courts-tribunals/family-division-of-the-high-court	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
family-health-services-appeal-authority	Family Health Services Appeal Authority	https://www.gov.uk/government/organisations/family-health-services-appeal-authority	Other							31-03-2015
family-justice-council	Family Justice Council	https://www.gov.uk/government/organisations/family-justice-council	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				FJC		
family-procedure-rule-committee	Family Procedure Rule Committee	https://www.gov.uk/government/organisations/family-procedure-rule-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				FPRC		
fco-services	FCO Services	https://www.gov.uk/government/organisations/fco-services	Executive agency	https://www.gov.uk/api/organisations/foreign-commonwealth-office				FCOS		
financial-conduct-authority	Financial Conduct Authority	https://www.gov.uk/government/organisations/financial-conduct-authority	Other	https://www.gov.uk/api/organisations/hm-treasury				FCA		
financial-services-organisation	Financial Services Organisation	https://www.gov.uk/government/organisations/financial-services-organisation	Sub-organisation	https://www.gov.uk/api/organisations/uk-trade-investment						
financial-services-trade-and-investment-board	Financial Services Trade and Investment Board	https://www.gov.uk/government/organisations/financial-services-trade-and-investment-board	Sub-organisation	https://www.gov.uk/api/organisations/hm-treasury				FSTIB		
fire-authority-for-northern-ireland	Fire Authority for Northern Ireland	https://www.gov.uk/government/organisations/fire-authority-for-northern-Ireland	Other							
fire-service-college	Fire Service College	https://www.gov.uk/government/organisations/fire-service-college	Other					FSC		
firearms-consultative-committee	Firearms Consultative Committee	https://www.gov.uk/government/organisations/firearms-consultative-committee	Other							31-01-2004
firebuy	Firebuy	https://www.gov.uk/government/organisations/firebuy	Other							13-07-2011
first-tier-tribunal-asylum-support	First-tier Tribunal (Asylum Support)	https://www.gov.uk/government/organisations/first-tier-tribunal-asylum-support	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
first-tier-tribunal-care-standards	First-tier Tribunal (Care Standards)	https://www.gov.uk/government/organisations/first-tier-tribunal-care-standards	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
first-tier-tribunal-criminal-injuries-compensation	First-tier Tribunal (Criminal Injuries Compensation)	https://www.gov.uk/government/organisations/first-tier-tribunal-criminal-injuries-compensation	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
first-tier-tribunal-general-regulatory-chamber	First-tier Tribunal (General Regulatory Chamber)	https://www.gov.uk/government/organisations/first-tier-tribunal-general-regulatory-chamber	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
first-tier-tribunal-immigration-and-asylum	First-tier Tribunal (Immigration and Asylum)	https://www.gov.uk/government/organisations/first-tier-tribunal-immigration-and-asylum	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
first-tier-tribunal-mental-health	First-tier Tribunal (Mental Health)	https://www.gov.uk/government/organisations/first-tier-tribunal-mental-health	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
first-tier-tribunal-property-chamber	First-tier Tribunal (Property Chamber)	https://www.gov.uk/government/organisations/first-tier-tribunal-property-chamber	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
first-tier-tribunal-social-security-and-child-support	First-tier Tribunal (Social Security and Child Support)	https://www.gov.uk/government/organisations/first-tier-tribunal-social-security-and-child-support	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
first-tier-tribunal-special-educational-needs-and-disability	First-tier Tribunal (Special Educational Needs and Disability)	https://www.gov.uk/government/organisations/first-tier-tribunal-special-educational-needs-and-disability	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
first-tier-tribunal-tax	First-tier Tribunal (Tax)	https://www.gov.uk/government/organisations/first-tier-tribunal-tax	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
first-tier-tribunal-war-pensions-and-armed-forces-compensation	First-tier Tribunal (War Pensions and Armed Forces Compensation)	https://www.gov.uk/government/organisations/first-tier-tribunal-war-pensions-and-armed-forces-compensation	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
fisheries-conservancy-board-for-northern-ireland	Fisheries Conservancy Board for Northern Ireland	https://www.gov.uk/government/organisations/fisheries-conservancy-board-for-northern-Ireland	Other							
fleet-air-arm-museum	Fleet Air Arm Museum	https://www.gov.uk/government/organisations/fleet-air-arm-museum	Other	https://www.gov.uk/api/organisations/ministry-of-defence						
food-from-britain	Food from Britain	https://www.gov.uk/government/organisations/food-from-britain	Other							31-03-2009
food-safety-promotion-board	Food Safety Promotion Board	https://www.gov.uk/government/organisations/food-safety-promotion-board	Other							
food-standards-agency	Food Standards Agency	https://www.gov.uk/government/organisations/food-standards-agency	Non-ministerial department					FSA		
football-licensing-authority	Football Licensing Authority	https://www.gov.uk/government/organisations/football-licensing-authority	Other							14-10-2010
foreign-commonwealth-office	Foreign & Commonwealth Office	https://www.gov.uk/government/organisations/foreign-commonwealth-office	Ministerial department			org-crest	#003e74	FCO		
foreign-compensation-commission	Foreign Compensation Commission	https://www.gov.uk/government/organisations/foreign-compensation-commission	Tribunal non-departmental public body					FCC		
forensic-science-northern-ireland	Forensic Science Northern Ireland	https://www.gov.uk/government/organisations/forensic-science-northern-Ireland	Executive agency							
forensic-science-regulator	Forensic Science Regulator	https://www.gov.uk/government/organisations/forensic-science-regulator	Other	https://www.gov.uk/api/organisations/home-office				FSR		
forensic-science-service	Forensic Science Service	https://www.gov.uk/government/organisations/forensic-science-service	Other							4-12-2005
forest-enterprise-england	Forest Enterprise (England)	https://www.gov.uk/government/organisations/forest-enterprise-england	Executive agency	https://www.gov.uk/api/organisations/forestry-commission				FEE		
forest-research	Forest Research	https://www.gov.uk/government/organisations/forest-research	Executive agency	https://www.gov.uk/api/organisations/forestry-commission						
forest-service	Forest Service	https://www.gov.uk/government/organisations/forest-service	Other							
forestry-commission	Forestry Commission	https://www.gov.uk/government/organisations/forestry-commission	Non-ministerial department	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				Forestry		
further-and-higher-education-funding-councils-for-wales	Further and Higher Education Funding Councils for Wales	https://www.gov.uk/government/organisations/further-and-higher-education-funding-councils-for-wales	Other							
gambling-commission	Gambling Commission	https://www.gov.uk/government/organisations/gambling-commission	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				GC		
gaming-board-for-great-britain	Gaming Board for Great Britain	https://www.gov.uk/government/organisations/gaming-board-for-great-britain	Other							01-09-2007
gangmasters-licensing-appeals	Gangmasters Licensing Appeals	https://www.gov.uk/courts-tribunals/gangmasters-licensing-appeals	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
gangmasters-licensing-authority	Gangmasters Licensing Authority	https://www.gov.uk/government/organisations/gangmasters-licensing-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/home-office				GLA		
gas-and-electricity-consumer-council-energywatch	Gas and Electricity Consumer Council (Energywatch)	https://www.gov.uk/government/organisations/gas-and-electricity-consumer-council-energywatch	Other							2008
geffrye-museum	Geffrye Museum	https://www.gov.uk/government/organisations/geffrye-museum	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				GMus		
general-advisory-committee-on-science	General Advisory Committee on Science	https://www.gov.uk/government/organisations/general-advisory-committee-on-science	Advisory non-departmental public body	https://www.gov.uk/api/organisations/food-standards-agency				GACS		
general-consumer-council-for-northern-ireland	General Consumer Council for Northern Ireland	https://www.gov.uk/government/organisations/general-consumer-council-for-northern-Ireland	Other							
general-social-care-council	General Social Care Council	https://www.gov.uk/government/organisations/general-social-care-council	Other							30-09-2012
general-teaching-council-for-england	General Teaching Council for England	https://www.gov.uk/government/organisations/general-teaching-council-for-england	Executive agency					GTCE		31-03-2012
gloucester-education-action-zone	Gloucester Education Action Zone	https://www.gov.uk/government/organisations/gloucester-education-action-zone	Other							09-01-2005
government-actuarys-department	Government Actuary's Department	https://www.gov.uk/government/organisations/government-actuarys-department	Non-ministerial department					GAD		
government-car-and-despatch-agency	Government Car and Despatch Agency	https://www.gov.uk/government/organisations/government-car-and-despatch-agency	Executive agency							30-12-2009
government-chemist	Government Chemist	https://www.gov.uk/government/organisations/government-chemist	Sub-organisation	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				Government Chemist		
government-commercial-function	Government Commercial Function	https://www.gov.uk/government/organisations/government-commercial-function	Sub-organisation	https://www.gov.uk/api/organisations/cabinet-office;https://www.gov.uk/api/organisations/civil-service				GCF		
government-communications-headquarters	Government Communications Headquarters	https://www.gov.uk/government/organisations/government-communications-headquarters	Other	https://www.gov.uk/api/organisations/foreign-commonwealth-office				GCHQ		
government-digital-service	Government Digital Service	https://www.gov.uk/government/organisations/government-digital-service	Sub-organisation	https://www.gov.uk/api/organisations/cabinet-office;https://www.gov.uk/api/organisations/efficiency-and-reform-group				GDS		
government-equalities-office	Government Equalities Office	https://www.gov.uk/government/organisations/government-equalities-office	Other	https://www.gov.uk/api/organisations/department-for-education				GEO		
government-estates-management	Government Estates Management	https://www.gov.uk/government/organisations/government-estates-management	Other	https://www.gov.uk/api/organisations/cabinet-office				GEM		
government-internal-audit-agency	Government Internal Audit Agency	https://www.gov.uk/government/organisations/government-internal-audit-agency	Executive agency	https://www.gov.uk/api/organisations/hm-treasury				GIAA		
government-legal-department	Government Legal Department	https://www.gov.uk/government/organisations/government-legal-department	Non-ministerial department	https://www.gov.uk/api/organisations/attorney-generals-office				GLD		
government-office-for-science	Government Office for Science	https://www.gov.uk/government/organisations/government-office-for-science	Other	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				GO-Science		
government-procurement-service	Government Procurement Service	https://www.gov.uk/government/organisations/government-procurement-service	Executive agency					GPS		01-04-2014
government-security-profession	Government Security Profession	https://www.gov.uk/government/organisations/government-security-profession	Sub-organisation	https://www.gov.uk/api/organisations/civil-service						
gowers-review-of-intellectual-property	Gowers Review of Intellectual Property	https://www.gov.uk/government/organisations/gowers-review-of-intellectual-property	Other							12-2006
great-britain-china-centre	Great Britain-China Centre	https://www.gov.uk/government/organisations/great-britain-china-centre	Executive non-departmental public body	https://www.gov.uk/api/organisations/foreign-commonwealth-office				GBCC		
great-yarmouth-education-action-zone	Great Yarmouth Education Action Zone	https://www.gov.uk/government/organisations/great-yarmouth-education-action-zone	Other							16-04-2005
greenwich-education-action-zone	Greenwich Education Action Zone	https://www.gov.uk/government/organisations/greenwich-education-action-zone	Other							05-09-2004
groceries-code-adjudicator	Groceries Code Adjudicator	https://www.gov.uk/government/organisations/groceries-code-adjudicator	Other	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				GCA		
hackney-education-action-zone	Hackney Education Action Zone	https://www.gov.uk/government/organisations/hackney-education-action-zone	Other							30-11-2004
hamilton-oxford-education-action-zone	Hamilton Oxford Education Action Zone	https://www.gov.uk/government/organisations/hamilton-oxford-education-action-zone	Other							06-09-2004
hastings-and-st-leonards-education-action-zone	Hastings and St Leonards Education Action Zone	https://www.gov.uk/government/organisations/hastings-and-st-leonards-education-action-zone	Other							30-11-2004
health-and-safety-executive	Health and Safety Executive	https://www.gov.uk/government/organisations/health-and-safety-executive	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-work-pensions				HSE		
health-and-social-care-information-centre	Health and Social Care Information Centre	https://www.gov.uk/government/organisations/health-and-social-care-information-centre	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				HSCIC		
health-education-england	Health Education England	https://www.gov.uk/government/organisations/health-education-england	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				HEE		
health-protection-agency	Health Protection Agency	https://www.gov.uk/government/organisations/health-protection-agency	Executive agency							01-04-2013
health-research-authority	Health Research Authority	https://www.gov.uk/government/organisations/health-research-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				HRA		
healthcare-commission	Healthcare Commission	https://www.gov.uk/government/organisations/healthcare-commission	Other							31-03-2009
healthcare-uk	Healthcare UK	https://www.gov.uk/government/organisations/healthcare-uk	Sub-organisation	https://www.gov.uk/api/organisations/department-of-health;https://www.gov.uk/api/organisations/uk-trade-investment				Healthcare UK		
hearing-aid-council	Hearing Aid Council	https://www.gov.uk/government/organisations/hearing-aid-council	Other							31-07-2010
heart-of-slough-education-action-zone	Heart of Slough Education Action Zone	https://www.gov.uk/government/organisations/heart-of-slough-education-action-zone	Other							
her-majestys-magistrates-courts-service-inspectorate	Her Majesty's Magistrates Courts Service Inspectorate	https://www.gov.uk/government/organisations/her-majestys-magistrates-courts-servuce-inspectorate	Other	https://www.gov.uk/api/organisations/ministry-of-justice						find
heritage-lottery-fund	Heritage Lottery Fund (administered by the NHMF)	https://www.gov.uk/government/organisations/heritage-lottery-fund	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				HLF		
high-speed-two-limited	High Speed Two (HS2) Limited	https://www.gov.uk/government/organisations/high-speed-two-limited	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-transport				HS2 Ltd		
higher-education-funding-council-for-england	Higher Education Funding Council for England	https://www.gov.uk/government/organisations/higher-education-funding-council-for-england	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-education				HEFCE		
higher-education-statistical-agency	Higher Education Statistics Agency	https://www.gov.uk/government/organisations/higher-education-statistical-agency	Other	https://www.gov.uk/api/organisations/department-for-business-innovation-skills				HESA		independant
highways-agency	Highways Agency	https://www.gov.uk/government/organisations/highways-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-transport				HA		01-04-2015
highways-england	Highways England	https://www.gov.uk/government/organisations/highways-england	Other	https://www.gov.uk/api/organisations/department-for-transport				Highways England		
